Goalie,Cluster_Mode
Ken Appleby,3
Brandon Halverson,3
Jeff Glass,3
Dany Sabourin,1
Josh Tordjman,1
Daniel Lacosta,1
Olie Kolzig,1
Mikael Tellqvist,1
Chris Holt,1
Curtis Joseph,1
Tobias Stephan,1
Manny Fernandez,1
Riku Helenius,1
Justin Pogge,1
Fredrik Norrena,1
Kevin Weekes,1
Marek Schwarz,1
Marc Denis,1
Brent Krahn,1
