Defense,Cluster_Mode
Dean Arsene,5
Douglas Murray,3
Kurtis Foster,4
Jim Vandermeer,3
Nate Guenin,5
Kent Huskins,2
Scott Jackson,5
Ville Koistinen,2
Taylor Chorney,5
Andy Sutton,2
Jamie McBain,2
Marek Zidlicky,0
Eric Brewer,1
Brian Campbell,4
Henrik Tallinder,1
Staffan Kronwall,5
Marc Methot,3
Cory Murphy,2
Chris Butler,5
Evan Oberg,5
Ilya Lyubushkin,2
Bogdan Kiselevich,2
Rasmus Dahlin,0
Andrej Sustr,2
Brady Skjei,1
Mikhail Sergachev,4
Michael Stone,2
Brenden Dillon,1
Brendan Guhle,5
Anton Lindholm,5
Robert Hagg,2
Thomas Hickey,1
Chad Ruhwedel,5
Jordie Benn,1
Radko Gudas,1
Joakim Ryan,2
Joel Edmundson,4
Jake Gardiner,0
Cam Fowler,1
Oscar Klefbom,0
Brady Keeper,5
Ben Harpur,2
Mark Friedman,5
Colin Miller,3
Miro Heiskanen,0
John Gilmour,5
Justin Braun,1
Dean Kukan,2
Fredrik Claesson,5
Egor Yakovlev,2
Ryan Murray,3
Ryan Lindgren,3
Oscar Fantenberg,2
Nick Leddy,1
Matt Roy,1
Torey Krug,0
Jamie Oleksiak,3
Marco Scandella,4
Matt Grzelcyk,4
Juuso Riikola,2
Mattias Ekholm,0
Colton Parayko,0
Matt Tennyson,5
Jacob Larsson,3
Brian Dumoulin,1
Evan Bouchard,0
Patrik Nemeth,2
Mirco Mueller,2
Oliver Kylington,2
Jared Spurgeon,4
Matt Benning,3
Kevin Shattenkirk,4
Maxime Lajoie,5
Tyler Lewington,5
Igor Ozhiganov,3
Anthony Bitetto,2
Jan Rutta,2
Korbinian Holzer,2
Riley Stillman,2
Josh Brown,2
Andreas Englund,5
Martin Marincin,2
Filip Hronek,1
Louie Belpedio,5
Seth Jones,0
Slater Koekkoek,5
Darnell Nurse,0
Erik Gudbranson,3
Christian Jaros,5
Cameron Schilling,5
Dmitry Orlov,1
Dalton Prout,5
Brendan Smith,3
Rasmus Andersson,4
Jacob MacDonald,5
Justin Faulk,0
Christian Djoos,2
Urho Vaakanainen,5
Jimmy Schuldt,5
Danny DeKeyser,4
Nikita Zadorov,3
Zach Werenski,0
Mike Matheson,1
Brogan Rafferty,5
Dakota Mermis,5
Troy Stecher,4
Joel Hanley,5
Jeremy Lauzon,4
Haydn Fleury,2
John Moore,4
Matt Irwin,3
Zach Trotman,5
Jonas Brodin,1
Brandon Davidson,5
Xavier Ouellet,5
Ivan Provorov,0
Damon Severson,1
Devon Toews,0
Sami Vatanen,1
Derrick Pouliot,5
Josh Manson,1
Cameron Gaunce,5
Ryan Murphy,2
Dougie Hamilton,0
Nikita Zaitsev,4
Eric Gryba,2
Josh Mahura,2
Trevor van Riemsdyk,4
Ben Gleason,5
Carl Dahlstrom,5
Jon Merrill,3
Libor Hajek,5
Brandon Montour,0
William Borgen,5
Ian McCoshen,5
Victor Mete,2
Kyle Capobianco,5
Brad Hunt,5
Jacob Middleton,5
Erik Gustafsson,2
Nelson Nogier,5
Aaron Ekblad,0
Joe Morrow,2
Brett Pesce,4
Esa Lindell,1
Quinn Hughes,0
Lawrence Pilut,5
Josh Morrissey,1
Dennis Gilbert,2
Kurtis MacDermid,2
David Savard,1
Dylan DeMelo,1
Matt Bartkowski,5
Nick Seeler,2
Erik Cernak,4
Ryan Ellis,4
Dennis Cholowski,5
Jonas Siegenthaler,1
Kevin Connauton,2
Jakub Zboril,2
Brandon Carlo,1
Andy Welinski,5
Juuso Valimaki,1
Matt Donovan,5
Matt Dumba,1
Thomas Chabot,0
Dillon Heatherington,5
Kevan Miller,2
Travis Sanheim,1
Radim Simek,2
Alexander Petrovic,3
Samuel Girard,4
Travis Hamonic,1
Oliver Ekman-Larsson,0
Jacob Trouba,1
Jeff Petry,1
Cody Ceci,1
Greg Pateryn,5
Samuel Morin,5
Michal Kempny,3
Jordan Schmaltz,5
Jake Dotchin,2
Christopher Tanev,3
Brayden McNabb,1
Jaccob Slavin,0
Nathan Beaulieu,3
Vince Dunn,4
Caleb Jones,2
Casey Nelson,2
Guillaume Brisebois,5
Mark Barberio,3
Chris Wideman,3
Gavin Bayreuther,2
Kevin Gravel,2
Nick Holden,1
Mark Pysyk,3
Brandon Manning,5
Josh Jacobs,5
Marcus Pettersson,4
Nick Jensen,1
Calle Rosen,5
Christian Folin,3
Mark Alt,5
Ashton Sautner,5
Sami Niku,5
Libor Sulak,5
Julius Honka,2
Rasmus Ristolainen,0
Sean Walker,4
Connor Murphy,4
Taylor Fedun,5
Ian Cole,4
Adam Pelech,4
Justin Schultz,4
Henri Jokiharju,4
Mike Reilly,4
Ryan Pulock,4
Morgan Rielly,0
Charlie McAvoy,4
Madison Bowey,3
Robert Bortuzzo,2
Trevor Carrick,5
Jakub Jerabek,2
Ben Hutton,4
Calvin de Haan,3
Paul LaDue,5
Jake McCabe,1
Tony DeAngelo,4
Joe Hicketts,5
Roman Josi,0
Mark Borowiecki,3
Jake Bean,5
Travis Dermott,2
Shea Theodore,0
Erik Burgdoerfer,5
Cody Goloubef,2
Connor Carrick,2
Justin Holl,1
Olli Maatta,4
Markus Nutivaara,2
Jakob Chychrun,4
Ryan McDonagh,1
Noah Hanifin,0
Adam Clendening,2
Will Butcher,2
Steven Santini,5
Tyson Barrie,0
Tim Heed,2
Jordan Oesterle,3
Philippe Myers,2
Christian Wolanin,5
Dante Fabbro,4
Derek Forbort,1
Ben Chiarot,3
TJ Brodie,1
Connor Clifton,3
Brett Kulak,3
Jaycob Megna,3
Daniel Brickley,5
Alex Biega,3
Gustav Forsling,3
Nate Schmidt,4
Noah Juulsen,5
Dylan McIlrath,5
Erik Brannstrom,2
Steven Kampfer,2
Stefan Elliott,2
Josh Teves,5
Brian Lashoff,5
Colton White,5
Gabriel Carlsson,5
Scott Mayfield,1
John Klingberg,0
Jake Muzzin,0
Ryan Graves,1
Neal Pionk,0
Jake Chelios,5
Adam Larsson,1
Scott Harrington,5
Hampus Lindholm,1
MacKenzie Weegar,3
Shayne Gostisbehere,0
Alexandre Carrier,5
Otto Leskinen,5
Zach Whitecloud,3
Cale Fleury,5
Vladislav Gavrikov,1
Jake Walman,2
Lucas Carlsson,5
Mario Ferraro,1
Jake Bischoff,5
Aaron Ness,5
Joel Persson,5
Brennan Menell,5
Carson Soucy,3
Cale Makar,0
Mikey Anderson,1
William Lagesson,5
Alexander Yelesin,5
Jarred Tinordi,5
Adam Fox,0
Rasmus Sandin,2
Niko Mikkola,1
Timothy Liljegren,4
Nicolas Hague,1
Nikolai Knyzhov,5
Tobias Bjornfot,5
Martin Fehervary,1
Jani Hakanpaa,3
Tucker Poolman,2
Stephen Johns,4
Jordan Gross,5
Adam Boqvist,3
John Marino,3
Gustav Lindstrom,5
Nicolas Beaudin,5
Ville Heinola,5
Kale Clague,2
Gustav Olofsson,5
Andrew Peeke,1
Conor Timmins,2
Ethan Bear,3
Noah Dobson,0
Mattias Samuelsson,3
Alec Regula,5
Alexander Romanov,1
Wyatt Kalynuk,2
Olle Alsing,5
Keaton Middleton,5
Cam York,2
Frederic Allard,5
Jalen Chatfield,5
Jamie Drysdale,1
Jack Ahcan,5
Bowen Byram,2
Victor Soderstrom,5
Zac Jones,5
Artem Zub,3
Ty Smith,3
David Farrance,5
Dylan Coghlan,2
Nikita Nesterov,2
Andreas Borgman,3
Cal Foote,3
Ben Thomas,5
Connor Mackey,5
Simon Benoit,1
Sebastian Aho,2
Matt Kiersted,5
Kevin Bahl,5
Calen Addison,5
Jacob Bernard-Docker,5
Jack Rathbone,5
Kevin Czuczman,5
Brinson Pasichnuk,5
Kyle Burroughs,2
Ian Mitchell,2
Jacob Bryson,3
Nicolas Meloche,3
Dan Renouf,5
Mikko Lehtonen,2
Joey Keane,5
Tarmo Reunanen,5
Egor Zamula,5
Logan Stanley,2
Pierre-Olivier Joseph,5
K'Andre Miller,1
Austin Strand,5
Jeremy Davies,5
Olli Juolevi,2
Declan Chisholm,5
Petteri Lindbohm,5
Brayden Pachal,5
Robin Salo,2
J.J. Moser,1
Linus Hogberg,5
Corey Schueneman,2
Zachary Hayes,5
Jacob Moverare,5
Nils Lundkvist,2
Ronnie Attard,5
Reilly Walsh,5
Isaak Phillips,5
Nikita Okhotiuk,5
Luke Witkowski,5
Grant Hutton,5
Owen Power,0
Cam Dineen,2
Braden Schneider,2
Darren Raddysh,5
Philip Broberg,2
Casey Fitzgerald,2
Alexander Alexeyev,2
Moritz Seider,0
Artemi Kniazev,5
Sean Durzi,1
Dylan Samberg,3
Mason Geertsen,5
Chase Priskie,5
Sean Day,5
Johnathan Kovacevic,1
Jordan Harris,4
Lassi Thomson,5
Jake Christiansen,2
Will Borgen,2
Dysin Mayo,1
Scott Perunovich,5
Ryan Merkley,2
Jakub Galvas,5
Jon Lizotte,5
Justin Barron,2
Kaedan Korczak,5
Kristians Rubins,5
Nick Blankenburg,3
Thomas Harley,2
Hunter Drew,5
Jordan Spence,2
Santeri Hatakka,5
Vladislav Kolyachonok,2
Dmitri Samorukov,5
Markus Niemelainen,5
Ethan Prow,5
Alex Vlasic,5
Daniil Miromanov,5
Mattias Norlinder,5
Lucas Johansen,5
Adam Ginning,5
Jackson LaCombe,5
Simon Edvinsson,5
Drew Helleson,5
Matthew Kessel,5
Tyler Kleven,5
Jani Hakanp,1
Arber Xhekaj,3
Vincent Desharnais,2
Cole McWard,5
Parker Wotherspoon,5
Tyler Tucker,2
David Jiricek,5
Billy Sweezey,5
Filip Kral,5
Roland McKeown,5
Nick Cicek,5
Mac Hollowell,5
Nick DeSimone,5
Nick Perbix,4
Michael Kesselring,5
Akito Hirose,5
Spencer Stastney,5
Marcus Bjork,2
Tim Berni,3
Brock Faber,5
Maxence Guenette,5
Stanislav Svozil,5
Samuel Knazko,5
Jake Livingstone,5
Chris Tanev,4
Vincent Iorio,5
Filip Roos,5
Kaiden Guhle,3
Luke Hughes,5
Samuel Bolduc,5
Jake Sanderson,0
Brandt Clarke,5
Jake Middleton,1
Henry Thrun,5
Wyatt Kaiser,5
Brian Strait,3
Andre Benoit,5
Lee Sweatt,5
Brian Fahey,5
Mike Moore,5
Jamie Doornbosch,5
Mike Weber,3
Andrew Hutchinson,2
Sean Collins,5
Alexander Urbom,5
Olivier Magnan,5
Nikita Nikitin,3
Anton Babchuk,4
Brendon Nash,5
Shane Sims,5
Colby Cohen,5
Patrick Wiercioch,3
Jonas Holos,3
Nolan Yonkman,5
Michael Sauer,2
Jonathon Blum,2
Jassen Cullimore,2
Chris Summers,5
Mark Katic,5
Keith Aulie,2
Mike Vernace,5
Drew Bagnall,5
Paul Postma,2
Garrett Stafford,5
Ray Macias,5
Ty Wishart,5
Richard Petiot,5
Matt Taormina,5
David Liffiton,5
Andrey Zubarev,5
Mark Fayne,4
Matt Campanale,5
Noah Welch,2
Marc-Andre Gragnani,5
Yann Sauve,5
Raphael Diaz,3
Dylan Olsen,3
Marc-Andre Bourdon,3
Colby Robak,5
Slava Voynov,3
Kris Fredheim,5
Cade Fairchild,5
Joe Piskula,5
Stu Bickel,5
Joe Finley,5
TJ Brennan,5
Frederic St-Denis,5
Tomas Kundratek,2
Colten Teubert,2
Alexei Emelin,4
Kevin Marshall,5
Chay Genoway,5
Tyler Cuma,5
Brendan Bell,3
Carl Sneep,5
Tim Erixon,2
David Rundblad,5
Simon Despres,2
Mat Clark,5
Zach Redmond,5
Oliver Lauridsen,5
Victor Bartley,2
Nick Petrecki,5
Ryan Stanton,3
Brett Bellemore,3
Eric Gelinas,2
Matthew Konan,5
Frank Corrado,5
Steve Oleksy,2
Mark Cundari,5
Michal Jordan,2
Alex Petrovic,5
Michael Caruso,5
Shawn Lalonde,5
Michael Kostka,5
Jonathan Racine,5
Karl Stollery,5
David Warsofsky,5
Brandon Gormley,2
Adam Almquist,5
Alexey Marchenko,3
Andrew Campbell,5
Ryan Sproul,5
Julian Melchiori,5
Tyler Wotherspoon,5
Jean-Philippe Cote,5
Patrick Wey,5
Dmitry Korobov,5
Chris Breen,5
Conor Allen,5
Julien Brouillette,5
Philip Samuelsson,5
Petter Granberg,5
Chad Billins,5
Alex Grant,5
Anton Belov,3
Jesse Blacker,5
Rasmus Rissanen,5
Griffin Reinhart,2
Keegan Lowe,5
Jyrki Jokipakka,3
Duncan Siemens,5
Michael Paliotta,5
Stuart Percy,5
Seth Helgeson,5
Klas Dahlbeck,2
John Ramage,5
Andrew MacWilliam,5
Danny Biega,5
Raman Hrabarenka,5
David Musil,5
Darren Dietz,5
Viktor Loov,5
Brent Regner,5
Morgan Ellis,5
Vojtech Mozik,5
Tommy Cross,5
Michael Matheson,5
Brett Lernout,5
Nikita Tryamkin,4
Rinat Valiev,5
Patrick Sieloff,5
Evgeny Medvedev,3
Ryan Johnston,5
Andrey Pedan,5
Chris Bigras,2
Jakub Nakladal,2
Viktor Svedberg,2
Brady Austin,5
Dillon Simpson,5
Michael Kapla,5
Robbie Russo,5
Evan McEneny,5
Rob O'Gara,2
Yohann Auvitu,2
Blake Hillman,5
Trevor Murphy,5
Will O'Neill,5
Mitch Reinke,5
Andrei Mironov,5
Philip Holm,5
Victor Antipin,2
Sergei Zubov,5
Steve Wagner,2
Philippe Boucher,3
Teppo Numminen,3
Josef Melichar,2
Marek Malik,3
Ken Klee,3
Alexei Semenov,2
Ossi Vaananen,3
Nathan McIver,5
Denis Gauthier,3
Greg De Vries,3
Jamie Fraser,5
Jason Smith,3
Alex Henry,5
Janne Niskala,5
Niclas Havelid,1
Frantisek Kaberle,2
Wade Brookbank,5
Grant Lewis,5
Thomas Pock,3
Geoff Kinrade,5
Jamie Heward,5
Tomas Mojzis,5
Brian Salcido,5
Daniel Tjarnqvist,2
Phil Oreskovic,5
Aaron MacKenzie,5
Lawrence Nycholat,5
Jonas Frogren,2
Lasse Kukkonen,5
Bret Hedican,3
Erik Reitz,2
Mike Van Ryn,2
Patrice Brisebois,3
Dan Jancevski,5
Dmitri Kalinin,4
Brett Skinner,5
Luke Richardson,5
John Negrin,5
Kevin Quick,5
Jamie Fritsch,5
Bryan Helmer,5
Christian Backman,3
Scott Lehman,5
