,team,season,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,penalitiesFor,penalitiesAgainst,confFinal
172,LAK,2012,Team Level,5on5,48,0.55,0.56,0.56,139577.0,1176.06,90.02,75.68,279.61,37.78,660.28,496.64,87.54,90.96,88.45,1134.0,506.0,536.0,2176.0,86.0,73.0,16.0,291.0,35.0,557.0,598.0,1048.0,1554.0,163.0,387.0,1118.0,1321.0,176.0,335.0,1301.0,263.0,76.0,37.64,31.53,20.85,35.0,33.0,18.0,2196.61,1640.0,1654.62,238.0,15.56,15.96,16.18,89.41,90.18,88.89,941.96,74.3,61.7,222.42,30.34,523.32,395.92,72.36,74.17,72.23,929.0,379.0,381.0,1689.0,79.0,64.0,12.0,230.0,52.0,428.0,455.0,850.0,1229.0,177.0,424.0,1019.0,1317.0,215.0,345.0,1019.0,234.0,55.0,30.76,28.61,14.93,34.0,30.0,15.0,1678.65,1308.0,1302.05,234.0,12.72,12.69,12.69,74.33,74.02,72.91,,,yes
173,LAK,2012,Team Level,4on5,48,0.14,0.12,0.13,14602.0,29.7,2.83,1.39,4.17,0.86,8.6,23.16,2.82,2.83,2.82,25.0,16.0,9.0,50.0,2.0,1.0,0.0,2.0,1.0,9.0,26.0,23.0,39.0,8.0,16.0,121.0,62.0,32.0,33.0,26.0,12.0,3.0,0.72,1.34,0.77,2.0,0.0,0.0,50.0,41.0,41.0,31.0,0.32,0.12,0.12,3.03,3.03,3.03,190.42,17.56,17.59,41.49,6.36,120.55,64.46,16.94,17.56,16.94,175.0,93.0,98.0,366.0,22.0,13.0,4.0,36.0,11.0,105.0,81.0,153.0,246.0,9.0,18.0,140.0,37.0,10.0,41.0,205.0,48.0,15.0,5.29,5.74,6.53,6.0,8.0,8.0,366.0,268.0,268.0,5.0,4.43,3.19,3.19,18.79,18.79,18.31,,,yes
174,LAK,2012,Team Level,5on4,48,0.95,0.93,0.91,14003.0,186.06,21.09,16.51,39.07,6.09,118.87,63.36,20.36,21.09,20.36,179.0,86.0,118.0,383.0,29.0,16.0,3.0,40.0,8.0,87.0,85.0,150.0,236.0,16.0,34.0,147.0,30.0,9.0,38.0,192.0,46.0,27.0,4.7,5.46,10.93,6.0,5.0,18.0,383.0,265.0,265.0,4.0,4.26,2.18,2.18,23.17,23.17,22.53,17.73,1.01,0.73,2.6,0.56,5.16,16.94,1.01,1.01,1.01,15.0,12.0,3.0,30.0,1.0,0.0,0.0,2.0,1.0,1.0,22.0,14.0,26.0,8.0,16.0,122.0,51.0,23.0,42.0,24.0,2.0,1.0,0.55,0.24,0.22,1.0,0.0,0.0,30.0,27.0,27.0,38.0,0.17,0.0,0.0,1.18,1.18,1.18,,,yes
175,PIT,2012,Team Level,other,48,0.64,0.53,0.54,6747.0,90.09,20.5,6.13,15.79,3.06,50.93,29.58,19.46,20.5,19.46,87.0,39.0,39.0,165.0,20.0,4.0,1.0,18.0,1.0,52.0,31.0,67.0,106.0,4.0,8.0,90.0,27.0,9.0,20.0,68.0,30.0,28.0,2.18,3.9,14.42,3.0,5.0,12.0,165.0,126.0,126.0,7.0,1.89,1.81,1.81,20.58,20.58,19.63,77.09,11.56,6.08,14.59,2.76,46.32,26.69,10.77,11.56,10.77,73.0,35.0,40.0,148.0,11.0,7.0,4.0,11.0,5.0,36.0,38.0,62.0,97.0,5.0,10.0,75.0,25.0,11.0,20.0,71.0,25.0,12.0,2.76,3.12,5.69,0.0,3.0,8.0,148.0,108.0,108.0,7.0,1.82,2.86,2.86,10.52,10.52,9.89,,,yes
176,PIT,2012,Team Level,all,48,0.52,0.5,0.5,173905.0,1428.49,135.31,99.34,321.6,45.71,806.6,576.45,131.08,137.09,132.8,1438.0,547.0,650.0,2635.0,162.0,103.0,28.0,282.0,67.0,606.0,765.0,1276.0,1823.0,215.0,501.0,1489.0,1229.0,227.0,298.0,1469.0,406.0,110.0,44.01,48.3,43.0,52.0,57.0,53.0,2681.36,1985.0,2016.76,161.0,22.07,21.05,21.51,135.88,137.43,134.73,1399.1,123.77,96.31,319.42,45.89,790.03,575.6,118.32,122.99,117.57,1403.0,548.0,735.0,2686.0,119.0,102.0,27.0,290.0,65.0,619.0,756.0,1284.0,1832.0,222.0,517.0,1404.0,1102.0,266.0,263.0,1481.0,364.0,106.0,42.25,44.38,37.14,35.0,44.0,40.0,2654.37,1951.0,1930.28,141.0,21.3,23.59,23.85,121.22,120.4,117.4,,,yes
177,PIT,2012,Team Level,5on5,48,0.51,0.49,0.5,137475.0,1100.98,87.64,72.84,258.13,35.27,612.42,460.69,85.51,89.42,87.23,1108.0,419.0,514.0,2041.0,107.0,80.0,22.0,214.0,56.0,443.0,627.0,1001.0,1420.0,178.0,424.0,1107.0,1129.0,182.0,223.0,1161.0,313.0,53.0,35.87,36.99,14.78,45.0,41.0,21.0,2087.36,1527.0,1558.76,132.0,15.01,15.33,15.79,86.86,88.42,87.47,1102.19,82.78,72.07,261.0,35.75,617.54,468.87,80.54,82.01,79.78,1111.0,427.0,587.0,2125.0,76.0,72.0,17.0,243.0,54.0,490.0,603.0,1035.0,1462.0,184.0,436.0,1044.0,1023.0,205.0,199.0,1211.0,268.0,59.0,33.99,33.04,15.75,29.0,29.0,18.0,2093.37,1538.0,1517.28,119.0,14.78,13.9,14.52,83.04,82.22,81.06,,,yes
178,PIT,2012,Team Level,4on5,48,0.03,0.06,0.06,14897.0,12.1,0.94,0.61,1.46,0.34,3.86,11.78,0.94,0.94,0.94,16.0,3.0,5.0,24.0,1.0,0.0,0.0,1.0,0.0,2.0,15.0,15.0,18.0,19.0,41.0,132.0,56.0,24.0,19.0,14.0,5.0,0.0,0.36,0.59,0.0,0.0,1.0,0.0,24.0,19.0,19.0,18.0,0.14,0.0,0.0,1.09,1.09,1.09,197.36,27.13,17.09,41.09,6.76,119.21,63.73,24.73,27.13,24.73,198.0,77.0,93.0,368.0,29.0,23.0,6.0,35.0,5.0,88.0,95.0,169.0,246.0,22.0,49.0,136.0,10.0,8.0,28.0,180.0,62.0,33.0,5.05,7.1,14.99,6.0,10.0,13.0,368.0,275.0,275.0,3.0,4.44,6.83,6.47,25.11,25.11,23.91,,,yes
179,PIT,2012,Team Level,5on4,48,0.92,0.9,0.91,14786.0,225.32,26.23,19.76,46.21,7.04,139.38,74.4,25.16,26.23,25.16,227.0,86.0,92.0,405.0,34.0,19.0,5.0,49.0,10.0,109.0,92.0,193.0,279.0,14.0,28.0,160.0,17.0,12.0,36.0,226.0,58.0,29.0,5.6,6.83,13.8,4.0,10.0,20.0,405.0,313.0,313.0,4.0,5.02,3.91,3.91,27.34,27.34,26.54,22.46,2.28,1.08,2.74,0.62,6.97,16.31,2.28,2.28,2.28,21.0,9.0,15.0,45.0,3.0,0.0,0.0,1.0,1.0,5.0,20.0,18.0,27.0,11.0,22.0,149.0,44.0,42.0,16.0,19.0,9.0,2.0,0.46,1.11,0.71,0.0,2.0,1.0,45.0,30.0,30.0,12.0,0.26,0.0,0.0,2.54,2.54,2.54,,,yes
180,LAK,2013,Team Level,other,82,0.53,0.53,0.53,10758.0,158.13,25.46,10.66,31.62,5.19,88.67,61.38,24.33,25.46,24.33,145.0,78.0,73.0,296.0,23.0,11.0,1.0,29.0,5.0,88.0,67.0,122.0,200.0,21.0,42.0,173.0,69.0,20.0,33.0,146.0,37.0,40.0,5.0,4.81,15.66,4.0,6.0,13.0,296.0,223.0,223.0,21.0,2.97,2.99,2.99,25.44,25.44,24.59,143.75,22.51,10.05,28.17,4.6,77.54,54.13,21.13,22.51,21.13,124.0,73.0,65.0,262.0,12.0,9.0,2.0,25.0,7.0,85.0,59.0,112.0,185.0,18.0,36.0,156.0,62.0,16.0,26.0,122.0,49.0,26.0,4.5,6.01,12.0,1.0,4.0,7.0,262.0,197.0,197.0,13.0,2.85,2.71,2.76,22.6,22.6,21.47,,,yes
181,LAK,2013,Team Level,all,82,0.54,0.56,0.55,300083.0,2712.53,236.23,184.77,627.38,87.43,1524.62,1122.59,227.04,237.91,228.67,2595.0,1188.0,1284.0,5067.0,198.0,239.0,30.0,586.0,109.0,1262.0,1389.0,2397.0,3585.0,367.0,820.0,2569.0,2609.0,344.0,867.0,2882.0,666.0,235.0,77.62,82.74,75.87,67.0,69.0,62.0,5119.38,3783.0,3811.52,543.0,40.68,49.57,50.12,226.78,228.49,223.19,2246.79,203.12,156.7,514.51,72.02,1241.14,917.5,194.34,202.69,193.92,2150.0,955.0,927.0,4032.0,168.0,164.0,29.0,479.0,89.0,1048.0,1157.0,1982.0,2937.0,349.0,795.0,2301.0,2353.0,437.0,809.0,2338.0,567.0,200.0,65.18,68.21,69.73,49.0,55.0,64.0,4007.33,3105.0,3093.6,546.0,34.92,34.74,37.63,200.41,199.98,195.26,,,yes
