,team,season,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,penalitiesFor,penalitiesAgainst,confFinal
0,CHI,2009,Team Level,other,82,0.52,0.59,0.59,10647.0,185.88,24.34,12.05,37.14,6.47,94.79,78.2,22.96,24.34,22.96,193.0,60.0,86.0,339.0,21.0,12.0,2.0,42.0,10.0,83.0,85.0,172.0,232.0,10.0,23.0,159.0,44.0,27.0,26.0,166.0,56.0,31.0,6.03,6.98,11.34,5.0,6.0,10.0,339.0,253.0,253.0,9.0,3.45,2.89,2.95,24.84,24.84,23.74,130.51,22.47,9.23,24.05,4.24,65.55,50.45,21.36,22.47,21.36,125.0,51.0,63.0,239.0,17.0,8.0,1.0,26.0,2.0,58.0,65.0,108.0,159.0,18.0,47.0,149.0,42.0,32.0,20.0,97.0,48.0,31.0,3.29,5.86,13.32,4.0,3.0,10.0,239.0,176.0,176.0,11.0,2.64,2.45,2.85,22.26,22.26,21.28,,,yes
1,CHI,2009,Team Level,all,82,0.57,0.56,0.57,300754.0,2734.11,248.64,186.06,596.08,88.41,1511.77,1150.05,240.59,251.38,243.28,2799.0,982.0,1198.0,4979.0,262.0,156.0,59.0,635.0,89.0,1160.0,1479.0,2537.0,3519.0,340.0,834.0,2340.0,1555.0,683.0,550.0,2813.0,755.0,213.0,82.13,90.43,76.09,77.0,96.0,89.0,5078.79,3781.0,3842.43,321.0,41.18,40.77,42.96,246.86,249.6,244.82,2033.46,190.17,140.55,451.26,67.44,1112.8,833.03,183.79,188.7,182.39,2058.0,741.0,1067.0,3866.0,203.0,142.0,40.0,427.0,56.0,852.0,1120.0,1855.0,2596.0,376.0,878.0,2126.0,1901.0,554.0,515.0,2055.0,567.0,177.0,61.67,69.77,58.73,69.0,72.0,62.0,3797.0,2799.0,2758.97,313.0,31.28,31.31,33.12,188.14,186.69,182.9,,,yes
2,CHI,2009,Team Level,5on5,82,0.57,0.57,0.58,238538.0,2086.31,167.55,135.0,472.68,67.31,1156.11,892.35,163.3,170.29,165.98,2145.0,746.0,894.0,3785.0,178.0,107.0,43.0,502.0,65.0,873.0,1166.0,1967.0,2713.0,284.0,713.0,1697.0,1377.0,533.0,442.0,2197.0,578.0,116.0,64.94,68.28,34.33,60.0,74.0,44.0,3884.79,2891.0,2952.43,267.0,27.73,25.49,27.97,167.31,170.05,167.84,1532.86,127.88,99.86,352.1,50.16,835.18,642.09,124.86,126.41,123.46,1558.0,553.0,799.0,2910.0,149.0,97.0,32.0,336.0,49.0,609.0,872.0,1409.0,1962.0,321.0,751.0,1571.0,1714.0,444.0,420.0,1594.0,414.0,103.0,49.12,50.81,27.96,59.0,54.0,36.0,2841.0,2111.0,2070.97,267.0,20.62,20.3,22.11,126.19,124.74,123.47,,,yes
3,CHI,2009,Team Level,4on5,82,0.21,0.15,0.17,24958.0,73.79,9.45,3.94,9.08,1.99,21.13,51.4,9.35,9.45,9.35,77.0,20.0,13.0,110.0,13.0,2.0,0.0,10.0,6.0,12.0,54.0,64.0,84.0,18.0,36.0,195.0,80.0,94.0,40.0,55.0,27.0,15.0,1.6,3.56,4.29,1.0,9.0,3.0,110.0,97.0,97.0,38.0,0.92,0.77,0.77,9.59,9.59,9.58,330.57,36.39,29.7,69.52,11.91,200.38,112.1,34.2,36.39,34.2,338.0,122.0,187.0,647.0,34.0,34.0,7.0,60.0,4.0,177.0,151.0,304.0,426.0,19.0,38.0,222.0,48.0,17.0,44.0,327.0,94.0,39.0,8.16,11.83,16.4,6.0,12.0,16.0,647.0,460.0,460.0,6.0,7.61,7.92,7.53,36.46,36.46,34.94,,,yes
4,CHI,2009,Team Level,5on4,82,0.93,0.91,0.91,26611.0,388.12,47.29,35.06,77.17,12.63,239.73,128.11,44.98,47.29,44.98,384.0,156.0,205.0,745.0,50.0,35.0,14.0,81.0,8.0,192.0,174.0,334.0,490.0,28.0,62.0,289.0,54.0,29.0,42.0,395.0,94.0,51.0,9.56,11.6,26.12,11.0,7.0,32.0,745.0,540.0,540.0,7.0,9.09,11.62,11.27,45.11,45.11,43.66,39.52,3.44,1.75,5.59,1.13,11.69,28.39,3.38,3.44,3.38,37.0,15.0,18.0,70.0,3.0,3.0,0.0,5.0,1.0,8.0,32.0,34.0,49.0,18.0,42.0,184.0,97.0,61.0,31.0,37.0,11.0,4.0,1.11,1.27,1.06,0.0,3.0,0.0,70.0,52.0,52.0,29.0,0.41,0.63,0.63,3.22,3.22,3.22,,,yes
5,PHI,2009,Team Level,other,82,0.55,0.54,0.54,15968.0,176.48,28.67,12.42,32.62,5.7,90.27,70.31,27.1,28.67,27.1,162.0,78.0,75.0,315.0,24.0,12.0,4.0,38.0,4.0,86.0,76.0,138.0,216.0,15.0,33.0,175.0,55.0,34.0,32.0,140.0,61.0,39.0,4.88,7.22,16.58,5.0,3.0,16.0,315.0,240.0,240.0,21.0,3.46,3.44,3.44,28.7,28.7,27.44,144.98,23.48,10.3,28.19,5.04,78.62,56.37,22.08,23.48,22.08,139.0,63.0,70.0,272.0,18.0,10.0,4.0,30.0,5.0,64.0,75.0,121.0,184.0,15.0,36.0,173.0,63.0,26.0,29.0,126.0,47.0,29.0,4.22,5.89,13.37,2.0,3.0,13.0,272.0,202.0,202.0,13.0,2.94,3.5,3.79,22.63,22.63,22.05,,,yes
6,PHI,2009,Team Level,all,82,0.53,0.51,0.52,298160.0,2599.36,255.08,180.19,580.91,83.89,1402.98,1086.95,245.23,255.59,245.76,2589.0,1001.0,1199.0,4789.0,232.0,204.0,49.0,589.0,88.0,1111.0,1366.0,2357.0,3358.0,487.0,1260.0,2415.0,1807.0,559.0,664.0,2614.0,713.0,263.0,77.99,86.85,90.24,64.0,76.0,92.0,4801.21,3590.0,3598.04,436.0,40.17,47.75,48.9,246.35,247.0,241.29,2357.98,226.61,157.36,528.95,76.32,1292.35,988.47,218.14,227.17,218.65,2348.0,923.0,1254.0,4525.0,222.0,180.0,49.0,540.0,77.0,1025.0,1227.0,2126.0,3049.0,474.0,1197.0,2408.0,1686.0,615.0,683.0,2452.0,577.0,242.0,70.15,69.32,87.15,61.0,68.0,93.0,4516.98,3271.0,3268.43,422.0,35.03,43.84,44.41,217.18,217.46,212.13,,,yes
7,PHI,2009,Team Level,5on5,82,0.52,0.51,0.52,223027.0,1898.83,162.38,124.6,444.61,61.18,1019.6,807.62,157.63,162.89,158.17,1889.0,731.0,882.0,3502.0,141.0,146.0,30.0,443.0,64.0,800.0,1026.0,1748.0,2479.0,426.0,1122.0,1711.0,1615.0,423.0,506.0,1971.0,501.0,148.0,59.59,61.1,41.69,47.0,53.0,41.0,3514.2,2620.0,2628.04,348.0,25.76,30.92,31.22,156.91,157.55,155.23,1774.31,147.45,112.25,414.13,56.52,962.56,760.15,143.99,147.99,144.5,1782.0,672.0,918.0,3372.0,143.0,138.0,35.0,433.0,56.0,736.0,948.0,1639.0,2311.0,419.0,1076.0,1676.0,1489.0,469.0,525.0,1884.0,429.0,141.0,55.4,51.45,40.6,47.0,49.0,47.0,3363.98,2454.0,2451.43,347.0,23.11,30.65,31.35,139.14,139.42,137.94,,,yes
8,PHI,2009,Team Level,4on5,82,0.1,0.13,0.15,30264.0,67.48,5.74,3.07,8.36,1.97,18.57,60.29,5.52,5.74,5.52,73.0,25.0,20.0,118.0,5.0,3.0,1.0,10.0,1.0,16.0,63.0,68.0,93.0,20.0,48.0,233.0,84.0,80.0,62.0,74.0,19.0,5.0,2.04,2.31,1.39,0.0,3.0,2.0,118.0,98.0,98.0,58.0,0.71,0.67,0.67,5.78,5.78,5.73,391.35,52.15,32.91,80.15,12.8,238.54,129.46,48.53,52.15,48.53,371.0,175.0,245.0,791.0,54.0,31.0,10.0,71.0,14.0,214.0,162.0,317.0,492.0,23.0,48.0,307.0,45.0,30.0,67.0,386.0,94.0,66.0,9.16,11.22,31.76,10.0,15.0,29.0,791.0,546.0,546.0,6.0,8.54,9.67,9.24,51.44,51.44,48.18,,,yes
9,PHI,2009,Team Level,5on4,82,0.94,0.9,0.9,28901.0,456.58,58.29,40.1,95.31,15.03,274.54,148.74,54.98,58.29,54.98,465.0,167.0,222.0,854.0,62.0,43.0,14.0,98.0,19.0,209.0,201.0,403.0,570.0,26.0,57.0,296.0,53.0,22.0,64.0,429.0,132.0,71.0,11.49,16.22,30.57,12.0,17.0,33.0,854.0,632.0,632.0,9.0,10.25,12.72,13.57,54.96,54.96,52.89,47.34,3.55,1.89,6.48,1.95,12.64,42.49,3.54,3.55,3.54,56.0,13.0,21.0,90.0,7.0,1.0,0.0,6.0,2.0,11.0,42.0,49.0,62.0,17.0,37.0,252.0,89.0,90.0,62.0,56.0,7.0,6.0,1.36,0.76,1.42,2.0,1.0,4.0,90.0,69.0,69.0,56.0,0.45,0.02,0.02,3.97,3.97,3.96,,,yes
10,MTL,2009,Team Level,other,82,0.46,0.46,0.46,12335.0,172.8,27.81,12.23,34.63,5.73,90.53,65.33,26.54,27.81,26.54,173.0,67.0,80.0,320.0,24.0,15.0,2.0,29.0,4.0,77.0,91.0,149.0,216.0,26.0,54.0,167.0,30.0,16.0,38.0,144.0,60.0,36.0,5.35,7.18,15.28,4.0,7.0,13.0,320.0,240.0,240.0,26.0,3.43,3.92,3.92,27.06,27.06,26.15,195.53,32.49,14.1,39.5,6.46,102.62,73.68,28.7,32.49,28.7,207.0,74.0,88.0,369.0,26.0,17.0,8.0,42.0,3.0,98.0,95.0,181.0,255.0,21.0,64.0,163.0,31.0,28.0,46.0,181.0,58.0,42.0,6.68,6.92,18.89,6.0,3.0,17.0,369.0,281.0,281.0,30.0,4.19,6.74,6.74,29.17,29.17,27.31,,,yes
11,MTL,2009,Team Level,all,82,0.49,0.47,0.47,300958.0,2363.09,225.44,158.01,528.59,75.52,1280.77,998.29,217.17,225.7,217.43,2346.0,958.0,1185.0,4489.0,210.0,187.0,37.0,489.0,67.0,1008.0,1343.0,2136.0,3094.0,399.0,900.0,2285.0,1542.0,562.0,910.0,2461.0,616.0,227.0,70.82,73.05,81.57,64.0,66.0,80.0,4476.9,3304.0,3299.9,743.0,35.17,43.88,44.31,213.69,213.78,208.72,2595.68,237.62,176.25,586.1,82.5,1430.49,1101.32,227.82,237.88,228.1,2634.0,1027.0,1344.0,5005.0,218.0,175.0,53.0,607.0,72.0,1150.0,1439.0,2416.0,3443.0,348.0,840.0,2312.0,1726.0,518.0,894.0,2774.0,657.0,230.0,78.82,79.46,79.34,67.0,73.0,78.0,5029.96,3661.0,3671.76,672.0,39.36,42.28,43.72,230.19,230.43,225.47,,,yes
12,MTL,2009,Team Level,5on5,82,0.46,0.47,0.47,237236.0,1747.36,135.07,110.26,409.66,55.76,953.91,751.91,131.48,135.32,131.74,1725.0,714.0,945.0,3384.0,130.0,121.0,20.0,373.0,54.0,752.0,1009.0,1595.0,2309.0,330.0,755.0,1654.0,1428.0,439.0,705.0,1889.0,437.0,113.0,53.34,51.91,29.81,50.0,52.0,28.0,3371.9,2439.0,2434.9,600.0,22.7,23.81,24.56,131.63,131.72,130.01,1968.31,156.68,125.94,462.29,62.52,1079.96,853.45,152.54,156.93,152.83,1989.0,778.0,1032.0,3799.0,143.0,129.0,36.0,480.0,57.0,827.0,1131.0,1846.0,2624.0,295.0,709.0,1694.0,1602.0,419.0,686.0,2135.0,497.0,135.0,60.15,59.66,36.87,54.0,54.0,35.0,3823.96,2767.0,2777.76,542.0,25.96,27.68,29.42,151.5,151.75,149.9,,,yes
13,MTL,2009,Team Level,4on5,82,0.15,0.15,0.18,28600.0,80.05,7.45,3.89,9.57,2.24,23.25,65.8,7.28,7.45,7.28,82.0,33.0,19.0,134.0,3.0,5.0,0.0,7.0,0.0,17.0,83.0,79.0,112.0,22.0,47.0,223.0,61.0,74.0,108.0,80.0,28.0,7.0,2.13,3.51,1.81,1.0,1.0,1.0,134.0,115.0,115.0,106.0,0.89,0.98,0.98,7.17,7.17,7.13,373.35,41.98,33.22,77.04,11.86,230.96,125.54,40.25,41.98,40.25,369.0,160.0,206.0,735.0,42.0,26.0,9.0,79.0,9.0,208.0,165.0,327.0,487.0,22.0,47.0,274.0,43.0,29.0,70.0,403.0,83.0,43.0,10.67,10.56,20.75,5.0,11.0,26.0,735.0,529.0,529.0,13.0,8.51,6.99,6.7,43.22,43.22,41.97,,,yes
14,MTL,2009,Team Level,5on4,82,0.89,0.86,0.86,22787.0,362.89,55.11,31.63,74.73,11.78,213.07,115.26,51.86,55.11,51.86,366.0,144.0,141.0,651.0,53.0,46.0,15.0,80.0,9.0,162.0,160.0,313.0,457.0,21.0,44.0,241.0,23.0,33.0,59.0,348.0,91.0,71.0,9.99,10.45,34.68,9.0,6.0,38.0,651.0,510.0,510.0,11.0,8.16,15.19,14.85,47.84,47.84,45.44,58.49,6.48,2.98,7.28,1.66,16.96,48.64,6.33,6.48,6.33,69.0,15.0,18.0,102.0,7.0,3.0,0.0,6.0,3.0,17.0,48.0,62.0,77.0,10.0,20.0,181.0,50.0,42.0,92.0,55.0,19.0,10.0,1.32,2.32,2.84,2.0,5.0,0.0,102.0,84.0,84.0,87.0,0.69,0.86,0.86,6.3,6.3,6.28,,,yes
15,SJS,2009,Team Level,other,82,0.51,0.47,0.48,16121.0,165.8,25.52,11.43,32.1,5.48,88.62,65.18,23.98,25.52,23.98,168.0,65.0,67.0,300.0,23.0,14.0,1.0,45.0,3.0,68.0,80.0,145.0,210.0,25.0,61.0,199.0,46.0,29.0,45.0,145.0,56.0,32.0,5.42,6.84,13.26,4.0,6.0,13.0,300.0,233.0,233.0,20.0,3.25,3.73,3.73,24.77,24.77,23.46,178.96,24.25,12.78,35.5,6.06,99.58,72.97,23.21,24.25,23.21,181.0,72.0,85.0,338.0,22.0,8.0,2.0,42.0,8.0,85.0,88.0,159.0,231.0,17.0,37.0,139.0,41.0,24.0,35.0,164.0,60.0,29.0,5.19,7.32,11.73,6.0,6.0,10.0,338.0,253.0,253.0,7.0,3.8,2.12,2.12,25.81,25.81,24.82,,,yes
16,SJS,2009,Team Level,all,82,0.52,0.51,0.51,299905.0,2594.31,249.23,180.66,595.29,86.87,1438.78,1058.57,237.87,250.33,238.94,2604.0,1054.0,1209.0,4867.0,257.0,234.0,62.0,589.0,74.0,1222.0,1282.0,2347.0,3401.0,434.0,1067.0,2636.0,1934.0,563.0,810.0,2753.0,651.0,254.0,82.69,79.47,87.06,82.0,81.0,94.0,4899.46,3658.0,3682.7,377.0,40.3,56.22,59.3,227.23,227.89,222.13,2538.24,231.13,176.2,568.39,82.89,1417.46,1061.36,222.62,231.14,222.59,2571.0,1001.0,1062.0,4634.0,209.0,197.0,45.0,643.0,61.0,1096.0,1366.0,2362.0,3363.0,413.0,1012.0,2104.0,1997.0,576.0,755.0,2705.0,655.0,212.0,79.23,79.64,72.26,59.0,71.0,79.0,4608.21,3572.0,3551.74,348.0,39.5,37.81,39.28,229.07,228.94,223.59,,,yes
17,SJS,2009,Team Level,5on5,82,0.51,0.51,0.51,227249.0,1901.06,158.74,124.85,455.68,63.29,1044.17,792.56,153.04,159.84,154.1,1895.0,777.0,897.0,3569.0,165.0,159.0,45.0,443.0,58.0,888.0,959.0,1730.0,2507.0,361.0,904.0,1818.0,1751.0,442.0,644.0,2076.0,455.0,141.0,62.96,55.84,39.94,60.0,63.0,42.0,3601.46,2672.0,2696.7,310.0,25.72,34.46,36.64,145.86,146.52,144.36,1864.61,150.27,120.64,432.85,59.88,1031.61,795.25,146.28,150.28,146.26,1887.0,725.0,778.0,3390.0,134.0,135.0,35.0,488.0,45.0,793.0,1017.0,1753.0,2478.0,354.0,885.0,1511.0,1784.0,447.0,596.0,2031.0,455.0,126.0,59.71,55.16,35.4,41.0,48.0,45.0,3364.21,2612.0,2591.74,295.0,24.82,27.52,28.84,144.82,144.69,142.95,,,yes
18,SJS,2009,Team Level,4on5,82,0.11,0.12,0.13,29165.0,66.26,5.99,3.04,9.33,1.93,20.08,50.7,5.82,5.99,5.82,65.0,27.0,12.0,104.0,7.0,7.0,0.0,7.0,1.0,12.0,58.0,58.0,85.0,25.0,56.0,309.0,102.0,64.0,40.0,70.0,14.0,8.0,2.05,1.71,2.22,2.0,1.0,4.0,104.0,92.0,92.0,36.0,0.71,0.93,0.93,5.71,5.71,5.66,428.56,50.69,39.5,91.14,15.07,267.12,140.19,47.24,50.69,47.24,431.0,183.0,172.0,786.0,45.0,52.0,7.0,107.0,8.0,207.0,195.0,386.0,569.0,32.0,70.0,244.0,67.0,27.0,88.0,439.0,122.0,53.0,12.28,14.5,23.92,11.0,11.0,23.0,786.0,614.0,614.0,15.0,10.12,7.71,7.9,52.25,52.25,49.64,,,yes
19,SJS,2009,Team Level,5on4,82,0.91,0.88,0.88,27370.0,461.19,58.99,41.34,98.18,16.17,285.91,150.12,55.03,58.99,55.03,476.0,185.0,233.0,894.0,62.0,54.0,16.0,94.0,12.0,254.0,185.0,414.0,599.0,23.0,46.0,310.0,35.0,28.0,81.0,462.0,126.0,73.0,12.26,15.08,31.64,16.0,11.0,35.0,894.0,661.0,661.0,11.0,10.62,17.1,18.0,50.9,50.9,48.65,66.12,5.92,3.27,8.9,1.87,19.15,52.95,5.88,5.92,5.88,72.0,21.0,27.0,120.0,8.0,2.0,1.0,6.0,0.0,11.0,66.0,64.0,85.0,10.0,20.0,210.0,105.0,78.0,36.0,71.0,18.0,4.0,2.05,2.66,1.2,1.0,6.0,1.0,120.0,93.0,93.0,31.0,0.76,0.47,0.42,6.2,6.2,6.18,,,yes
20,STL,2018,Team Level,other,82,0.54,0.52,0.53,16324.0,143.75,28.91,10.21,25.22,4.45,77.25,53.95,27.34,28.91,27.34,143.0,57.0,60.0,260.0,25.0,9.0,3.0,29.0,10.0,65.0,62.0,118.0,175.0,,10.0,149.0,27.0,27.0,17.0,112.0,46.0,42.0,4.59,5.6,18.73,10.0,6.0,9.0,260.0,200.0,200.0,7.0,2.94,2.72,2.72,29.13,29.13,27.82,125.25,24.82,8.96,21.58,4.08,68.68,46.88,23.95,24.82,23.95,119.0,56.0,61.0,236.0,27.0,7.0,1.0,18.0,5.0,57.0,61.0,92.0,148.0,,12.0,118.0,26.0,20.0,25.0,104.0,37.0,34.0,3.72,4.5,16.6,6.0,6.0,15.0,236.0,175.0,175.0,11.0,2.62,1.89,1.89,25.55,25.55,24.89,5.0,6.0,yes
21,STL,2018,Team Level,all,82,0.53,0.52,0.52,298859.0,2499.02,239.68,174.86,559.36,80.89,1404.08,1060.19,231.05,241.61,232.92,2594.0,926.0,1160.0,4680.0,244.0,185.0,41.0,562.0,92.0,1106.0,1331.0,2350.0,3276.0,,569.0,2447.0,1611.0,685.0,601.0,2580.0,715.0,225.0,75.71,86.07,77.91,85.0,81.0,78.0,4724.7,3520.0,3549.05,373.0,38.42,42.27,42.27,235.78,237.59,232.23,2306.07,209.52,156.93,526.75,74.0,1279.58,974.42,203.26,209.45,203.17,2324.0,900.0,1131.0,4355.0,220.0,143.0,26.0,534.0,70.0,1030.0,1227.0,2104.0,3004.0,,612.0,2306.0,1716.0,634.0,746.0,2400.0,632.0,192.0,67.62,75.66,66.24,69.0,79.0,72.0,4326.77,3224.0,3208.61,468.0,34.59,32.53,32.53,211.39,211.0,207.08,260.0,276.0,yes
22,STL,2018,Team Level,5on5,82,0.54,0.52,0.52,238768.0,1974.62,166.24,132.26,462.11,64.13,1105.68,845.64,161.16,168.17,163.02,2042.0,735.0,930.0,3707.0,166.0,140.0,32.0,465.0,74.0,864.0,1068.0,1876.0,2611.0,,512.0,1917.0,1491.0,559.0,508.0,2081.0,563.0,133.0,61.4,67.65,37.19,65.0,63.0,38.0,3751.7,2777.0,2806.05,328.0,27.25,32.07,32.07,161.35,163.17,160.57,1833.29,143.68,118.39,440.08,59.08,1011.19,784.77,139.98,143.6,139.89,1849.0,711.0,927.0,3487.0,147.0,111.0,18.0,465.0,56.0,797.0,984.0,1702.0,2413.0,,535.0,1833.0,1599.0,533.0,634.0,1962.0,489.0,109.0,55.36,58.31,30.02,59.0,60.0,28.0,3458.77,2560.0,2544.61,413.0,24.43,22.38,22.95,144.97,144.58,142.68,234.0,240.0,yes
23,STL,2018,Team Level,4on5,82,0.11,0.14,0.16,21661.0,51.71,4.47,2.41,6.15,1.59,13.51,52.86,4.33,4.47,4.33,69.0,12.0,6.0,87.0,3.0,3.0,1.0,9.0,1.0,12.0,53.0,66.0,78.0,,23.0,173.0,68.0,68.0,33.0,63.0,14.0,4.0,1.26,1.93,1.28,0.0,2.0,1.0,87.0,81.0,81.0,32.0,0.55,0.93,0.93,4.09,4.09,4.07,299.9,36.78,27.15,59.34,9.51,187.03,98.19,35.12,36.78,35.12,299.0,119.0,133.0,551.0,40.0,24.0,7.0,45.0,7.0,167.0,135.0,259.0,378.0,,55.0,189.0,30.0,24.0,40.0,284.0,88.0,46.0,7.44,10.49,18.85,3.0,10.0,27.0,551.0,418.0,418.0,2.0,6.99,8.14,7.58,36.19,36.19,34.87,9.0,26.0,yes
24,STL,2018,Team Level,5on4,82,0.9,0.89,0.87,22106.0,328.95,40.06,29.99,65.87,10.72,207.63,107.73,38.24,40.06,38.24,340.0,122.0,164.0,626.0,50.0,33.0,5.0,59.0,7.0,165.0,148.0,290.0,412.0,,24.0,208.0,25.0,31.0,43.0,324.0,92.0,46.0,8.46,10.88,20.72,10.0,10.0,30.0,626.0,462.0,462.0,6.0,7.69,6.54,6.54,41.21,41.21,39.76,47.64,4.25,2.42,5.75,1.34,12.66,44.58,4.21,4.25,4.21,57.0,14.0,10.0,81.0,6.0,1.0,0.0,6.0,2.0,9.0,47.0,51.0,65.0,,10.0,166.0,61.0,57.0,47.0,50.0,18.0,3.0,1.09,2.37,0.79,1.0,3.0,2.0,81.0,71.0,71.0,42.0,0.55,0.12,0.12,4.68,4.68,4.64,12.0,4.0,yes
25,BOS,2018,Team Level,other,82,0.54,0.52,0.53,12159.0,153.85,30.01,10.62,27.48,5.18,86.12,57.6,28.05,30.01,28.05,154.0,63.0,57.0,274.0,37.0,8.0,2.0,14.0,5.0,74.0,79.0,117.0,180.0,,14.0,148.0,37.0,42.0,22.0,124.0,61.0,32.0,4.76,7.75,17.5,11.0,8.0,18.0,274.0,217.0,217.0,11.0,3.07,2.66,2.66,30.41,30.41,28.39,142.12,25.39,9.84,26.07,4.61,76.19,53.92,24.41,25.39,24.41,135.0,61.0,57.0,253.0,23.0,6.0,2.0,35.0,8.0,61.0,63.0,112.0,173.0,,14.0,131.0,47.0,53.0,40.0,121.0,44.0,31.0,4.54,5.45,15.41,5.0,3.0,15.0,253.0,196.0,196.0,12.0,2.75,2.16,2.16,25.98,25.98,25.4,7.0,7.0,yes
26,BOS,2018,Team Level,all,82,0.52,0.53,0.53,299012.0,2669.47,239.88,177.88,608.93,87.07,1484.99,1133.23,231.83,241.71,233.6,2678.0,1054.0,1114.0,4846.0,257.0,154.0,32.0,610.0,96.0,1196.0,1419.0,2421.0,3475.0,,693.0,2454.0,1874.0,714.0,806.0,2801.0,740.0,191.0,79.58,89.7,70.61,90.0,102.0,65.0,4895.77,3732.0,3761.43,345.0,39.11,33.08,34.19,244.8,246.48,240.32,2368.3,220.57,160.03,534.95,77.87,1305.5,1026.08,212.32,219.64,211.43,2416.0,909.0,1049.0,4374.0,212.0,155.0,39.0,558.0,68.0,1092.0,1240.0,2204.0,3113.0,,691.0,2386.0,2172.0,947.0,1023.0,2449.0,675.0,201.0,68.6,80.98,70.99,72.0,69.0,71.0,4336.71,3325.0,3306.21,485.0,35.25,35.43,35.54,220.28,219.46,215.45,306.0,300.0,yes
27,BOS,2018,Team Level,5on5,82,0.53,0.53,0.54,243405.0,2119.26,163.33,135.87,506.3,68.81,1169.18,906.5,159.07,165.15,160.83,2123.0,827.0,915.0,3865.0,156.0,126.0,23.0,526.0,80.0,926.0,1136.0,1967.0,2794.0,,615.0,1897.0,1734.0,616.0,659.0,2285.0,548.0,117.0,65.05,65.66,32.62,63.0,68.0,25.0,3914.77,2950.0,2979.43,295.0,27.97,25.86,26.07,165.23,166.9,164.42,1820.86,147.1,117.94,431.01,59.93,1008.75,790.26,142.79,146.17,141.9,1847.0,708.0,868.0,3423.0,129.0,117.0,26.0,436.0,52.0,864.0,957.0,1718.0,2426.0,,582.0,1884.0,2014.0,771.0,856.0,1923.0,522.0,110.0,54.56,62.22,30.32,52.0,51.0,26.0,3385.71,2555.0,2536.21,426.0,24.33,24.3,24.61,146.82,146.0,143.8,266.0,249.0,yes
