team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
SEA,2023,SEA,SEA,Team Level,other,20,0.4,0.45,0.42,2833.0,39.65,6.59,2.61,8.17,1.45,18.08,15.1,6.29,6.59,6.29,36.0,16.0,22.0,74.0,6.0,1.0,0.0,2.0,0.0,16.0,27.0,30.0,46.0,2.0,4.0,43.0,4.0,5.0,6.0,28.0,11.0,13.0,1.12,1.22,4.26,0.0,2.0,4.0,74.0,52.0,52.0,2.0,0.77,0.52,0.52,6.84,6.84,6.71,52.28,10.05,3.64,10.28,1.79,28.29,18.96,9.1,10.05,9.1,45.0,28.0,18.0,91.0,12.0,4.0,2.0,3.0,3.0,25.0,26.0,33.0,61.0,2.0,4.0,35.0,6.0,10.0,4.0,45.0,16.0,12.0,1.64,2.02,6.38,2.0,2.0,8.0,91.0,73.0,73.0,3.0,1.06,1.67,1.67,9.44,9.44,8.93
SEA,2023,SEA,SEA,Team Level,all,20,0.49,0.5,0.49,74043.0,634.52,57.77,42.16,154.22,21.43,347.64,253.78,55.15,58.7,56.05,591.0,286.0,338.0,1215.0,53.0,59.0,7.0,38.0,3.0,391.0,333.0,538.0,824.0,78.0,183.0,573.0,349.0,144.0,93.0,684.0,124.0,69.0,19.61,15.06,23.1,17.0,18.0,18.0,1224.0,877.0,887.4,40.0,9.38,11.77,11.77,55.39,56.19,54.29,649.56,61.23,43.16,161.5,22.2,356.97,255.95,58.28,61.2,58.28,610.0,291.0,333.0,1234.0,70.0,69.0,12.0,31.0,6.0,420.0,305.0,540.0,831.0,78.0,177.0,581.0,344.0,178.0,130.0,674.0,158.0,69.0,17.82,18.63,24.79,19.0,24.0,27.0,1231.15,901.0,897.7,59.0,9.7,13.96,13.96,56.97,56.89,55.46
SEA,2023,SEA,SEA,Team Level,5on5,20,0.51,0.5,0.5,59959.0,496.76,38.5,31.54,126.13,16.7,276.09,204.05,37.33,39.42,38.23,470.0,223.0,259.0,952.0,33.0,47.0,4.0,33.0,1.0,316.0,263.0,437.0,660.0,67.0,159.0,433.0,329.0,119.0,77.0,555.0,99.0,39.0,15.63,12.07,10.8,13.0,13.0,7.0,961.0,693.0,703.4,35.0,6.51,8.15,8.15,36.87,37.67,36.94,495.98,37.32,31.19,130.95,16.95,272.47,200.12,35.91,37.29,35.91,466.0,223.0,266.0,955.0,41.0,53.0,6.0,23.0,3.0,341.0,228.0,425.0,648.0,68.0,157.0,450.0,321.0,147.0,111.0,534.0,119.0,36.0,13.25,13.89,10.18,13.0,18.0,10.0,952.15,689.0,685.7,54.0,6.47,8.69,8.69,35.09,35.02,34.32
SEA,2023,SEA,SEA,Team Level,4on5,20,0.14,0.12,0.16,5161.0,16.87,2.05,0.93,2.41,0.67,5.1,10.84,1.92,2.05,1.92,17.0,5.0,0.0,22.0,1.0,3.0,1.0,0.0,1.0,3.0,14.0,16.0,21.0,3.0,8.0,35.0,13.0,16.0,3.0,16.0,1.0,5.0,0.5,0.09,1.46,0.0,0.0,1.0,22.0,22.0,22.0,2.0,0.22,0.86,0.86,1.4,1.4,1.38,85.27,12.13,7.4,17.97,2.97,51.09,26.45,11.59,12.13,11.59,82.0,36.0,43.0,161.0,15.0,11.0,3.0,4.0,0.0,50.0,38.0,67.0,103.0,4.0,8.0,48.0,5.0,6.0,13.0,82.0,19.0,17.0,2.61,2.22,7.3,4.0,3.0,8.0,161.0,118.0,118.0,0.0,1.96,3.34,3.34,10.74,10.74,10.53
SEA,2023,SEA,SEA,Team Level,5on4,20,0.86,0.86,0.84,6090.0,81.25,10.63,7.09,17.51,2.62,48.37,23.79,9.6,10.63,9.6,68.0,42.0,57.0,167.0,13.0,8.0,2.0,3.0,1.0,56.0,29.0,55.0,97.0,6.0,12.0,62.0,3.0,4.0,7.0,85.0,13.0,12.0,2.36,1.69,6.58,4.0,3.0,6.0,167.0,110.0,110.0,1.0,1.89,2.24,2.24,10.28,10.28,9.25,16.02,1.73,0.93,2.31,0.49,5.11,10.42,1.69,1.73,1.69,17.0,4.0,6.0,27.0,2.0,1.0,1.0,1.0,0.0,4.0,13.0,15.0,19.0,4.0,8.0,48.0,12.0,15.0,2.0,13.0,4.0,4.0,0.32,0.5,0.92,0.0,1.0,1.0,27.0,21.0,21.0,2.0,0.21,0.27,0.27,1.68,1.68,1.68
MTL,2023,MTL,MTL,Team Level,other,18,0.35,0.44,0.45,2383.0,40.31,5.09,3.14,7.93,1.39,20.82,14.63,4.83,5.09,4.83,39.0,14.0,13.0,66.0,6.0,6.0,1.0,1.0,0.0,20.0,20.0,33.0,47.0,2.0,2.0,36.0,9.0,7.0,7.0,29.0,18.0,6.0,1.18,2.23,1.68,2.0,1.0,3.0,66.0,53.0,53.0,4.0,0.87,1.25,1.25,4.71,4.71,4.56,49.64,9.59,3.87,9.02,1.61,25.83,16.07,9.13,9.59,9.13,50.0,16.0,19.0,85.0,12.0,4.0,2.0,3.0,1.0,30.0,16.0,38.0,54.0,2.0,4.0,27.0,3.0,8.0,6.0,40.0,15.0,11.0,1.32,1.89,6.38,1.0,4.0,7.0,85.0,66.0,66.0,4.0,1.15,1.77,1.77,8.97,8.97,8.9
MTL,2023,MTL,MTL,Team Level,all,18,0.44,0.46,0.46,66393.0,538.97,52.51,38.76,127.43,18.62,292.09,215.6,50.36,51.96,49.83,529.0,216.0,294.0,1039.0,51.0,59.0,8.0,29.0,5.0,305.0,296.0,478.0,694.0,97.0,210.0,526.0,352.0,92.0,208.0,537.0,146.0,62.0,16.16,18.05,18.3,20.0,11.0,20.0,1019.09,745.0,734.39,154.0,8.75,11.64,11.64,49.61,49.1,48.13,645.77,67.43,46.48,152.41,22.16,351.28,251.25,64.6,68.52,65.64,628.0,263.0,341.0,1232.0,64.0,62.0,10.0,33.0,9.0,417.0,306.0,564.0,827.0,86.0,190.0,480.0,303.0,112.0,179.0,672.0,140.0,79.0,18.74,17.52,31.16,23.0,17.0,24.0,1264.29,891.0,910.55,130.0,10.66,13.82,13.97,64.12,65.13,63.7
MTL,2023,MTL,MTL,Team Level,5on5,18,0.46,0.47,0.46,50268.0,386.84,33.72,25.77,96.51,13.45,208.62,159.92,32.6,33.18,32.08,379.0,159.0,230.0,768.0,31.0,41.0,6.0,23.0,3.0,220.0,220.0,348.0,507.0,85.0,188.0,363.0,326.0,67.0,169.0,406.0,98.0,34.0,12.04,12.12,9.56,15.0,9.0,7.0,748.09,538.0,527.39,130.0,5.39,8.23,8.23,30.88,30.36,29.93,449.76,38.87,29.79,113.79,15.9,244.69,181.95,37.47,39.96,38.52,430.0,195.0,248.0,873.0,30.0,43.0,6.0,22.0,8.0,297.0,225.0,400.0,595.0,73.0,164.0,345.0,273.0,80.0,139.0,480.0,101.0,44.0,14.02,12.69,12.16,17.0,9.0,4.0,905.28,625.0,644.55,104.0,6.18,8.74,9.21,35.85,36.86,36.16
MTL,2023,MTL,MTL,Team Level,4on5,18,0.12,0.11,0.13,7142.0,18.31,2.42,1.09,2.64,0.6,6.05,12.2,2.42,2.42,2.42,22.0,3.0,5.0,30.0,2.0,0.0,0.0,0.0,1.0,2.0,20.0,20.0,23.0,4.0,8.0,64.0,11.0,12.0,21.0,16.0,4.0,5.0,0.48,0.55,1.39,0.0,0.0,2.0,30.0,25.0,25.0,20.0,0.25,0.0,0.0,2.67,2.67,2.67,124.53,17.31,11.73,25.96,3.92,73.38,37.69,16.36,17.31,16.36,124.0,46.0,73.0,243.0,18.0,14.0,2.0,7.0,0.0,84.0,47.0,106.0,152.0,4.0,8.0,65.0,5.0,3.0,12.0,127.0,21.0,22.0,2.75,2.58,11.99,3.0,3.0,12.0,243.0,170.0,170.0,1.0,3.08,3.19,2.99,17.4,17.4,16.76
MTL,2023,MTL,MTL,Team Level,5on4,18,0.87,0.85,0.81,6600.0,93.5,11.27,8.76,20.33,3.19,56.59,28.85,10.5,11.27,10.5,89.0,40.0,46.0,175.0,12.0,12.0,1.0,5.0,1.0,63.0,36.0,77.0,117.0,6.0,12.0,63.0,6.0,6.0,11.0,86.0,26.0,17.0,2.45,3.15,5.67,3.0,1.0,8.0,175.0,129.0,129.0,0.0,2.25,2.16,2.16,11.36,11.36,10.97,21.84,1.65,1.07,3.65,0.72,7.38,15.53,1.65,1.65,1.65,24.0,6.0,1.0,31.0,4.0,1.0,0.0,1.0,0.0,6.0,18.0,20.0,26.0,7.0,14.0,43.0,22.0,21.0,22.0,25.0,3.0,2.0,0.65,0.36,0.64,2.0,1.0,1.0,31.0,30.0,30.0,21.0,0.25,0.12,0.0,1.9,1.9,1.89
