team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
MIN,2023,MIN,MIN,Team Level,other,17,0.52,0.56,0.55,2321.0,40.43,7.27,2.91,7.41,1.27,21.11,13.02,6.78,7.27,6.78,37.0,16.0,17.0,70.0,4.0,4.0,1.0,4.0,0.0,25.0,16.0,33.0,49.0,2.0,4.0,30.0,3.0,7.0,6.0,28.0,14.0,11.0,1.1,1.7,4.48,0.0,0.0,4.0,70.0,53.0,53.0,3.0,0.88,2.23,2.23,5.93,5.93,5.78,31.31,6.58,2.26,5.8,1.08,16.18,11.1,6.17,6.58,6.17,33.0,10.0,12.0,55.0,7.0,2.0,0.0,3.0,2.0,14.0,15.0,26.0,36.0,1.0,2.0,31.0,4.0,3.0,3.0,26.0,8.0,9.0,1.04,1.09,4.45,2.0,1.0,4.0,55.0,43.0,43.0,1.0,0.68,0.28,0.28,6.99,6.99,6.58
MIN,2023,MIN,MIN,Team Level,all,17,0.51,0.51,0.51,62476.0,557.61,56.65,39.56,127.29,18.31,304.7,220.48,53.0,56.21,52.56,526.0,241.0,319.0,1086.0,53.0,44.0,4.0,43.0,5.0,360.0,262.0,473.0,714.0,72.0,171.0,440.0,281.0,94.0,129.0,559.0,141.0,67.0,15.85,17.39,23.41,19.0,15.0,19.0,1068.37,767.0,755.11,61.0,9.01,10.6,10.6,55.07,54.58,52.66,539.01,53.92,37.02,127.23,17.98,293.96,211.88,51.54,54.78,52.37,541.0,201.0,295.0,1037.0,68.0,46.0,6.0,38.0,11.0,301.0,278.0,473.0,674.0,75.0,174.0,526.0,214.0,89.0,119.0,564.0,121.0,57.0,16.97,15.2,21.75,29.0,18.0,21.0,1063.0,742.0,759.59,69.0,8.28,11.67,11.67,50.54,51.3,49.9
MIN,2023,MIN,MIN,Team Level,5on5,17,0.5,0.49,0.49,49144.0,387.94,32.11,25.57,92.3,12.6,210.23,162.18,31.4,31.67,30.96,357.0,178.0,235.0,770.0,39.0,24.0,3.0,23.0,3.0,252.0,194.0,318.0,496.0,62.0,151.0,315.0,268.0,75.0,102.0,400.0,106.0,29.0,11.63,13.13,7.36,16.0,14.0,9.0,752.37,535.0,523.11,51.0,5.27,4.4,4.4,32.98,32.5,32.03,399.25,32.69,26.29,99.5,13.26,218.99,160.27,31.58,33.54,32.41,398.0,153.0,235.0,786.0,40.0,30.0,1.0,33.0,7.0,229.0,212.0,358.0,511.0,62.0,146.0,390.0,192.0,68.0,104.0,434.0,85.0,32.0,12.92,10.63,9.13,21.0,12.0,7.0,812.0,551.0,568.59,60.0,5.44,6.81,6.81,31.31,32.08,31.5
MIN,2023,MIN,MIN,Team Level,4on5,17,0.1,0.12,0.13,4794.0,14.04,1.42,0.85,2.09,0.46,4.53,9.64,1.4,1.42,1.4,17.0,2.0,3.0,22.0,2.0,0.0,0.0,1.0,0.0,9.0,7.0,15.0,17.0,3.0,6.0,29.0,6.0,10.0,8.0,13.0,3.0,3.0,0.3,0.35,0.77,1.0,1.0,0.0,22.0,19.0,19.0,7.0,0.19,0.0,0.0,1.61,1.61,1.58,91.76,13.33,7.73,19.56,3.14,53.66,28.58,12.46,13.33,12.46,93.0,33.0,40.0,166.0,18.0,14.0,5.0,2.0,2.0,55.0,35.0,75.0,108.0,8.0,18.0,52.0,6.0,5.0,6.0,88.0,22.0,16.0,2.55,2.6,8.17,4.0,4.0,10.0,166.0,126.0,126.0,2.0,1.99,4.58,4.58,10.74,10.74,10.33
MIN,2023,MIN,MIN,Team Level,5on4,17,0.92,0.88,0.88,6217.0,115.2,15.84,10.24,25.49,3.98,68.82,35.63,13.43,15.84,13.43,115.0,45.0,64.0,224.0,8.0,16.0,0.0,15.0,2.0,74.0,45.0,107.0,152.0,5.0,10.0,66.0,4.0,2.0,13.0,118.0,18.0,24.0,2.82,2.21,10.82,2.0,0.0,6.0,224.0,160.0,160.0,0.0,2.67,3.98,3.98,14.54,14.54,13.27,16.7,1.33,0.75,2.37,0.5,5.13,11.93,1.33,1.33,1.33,17.0,5.0,8.0,30.0,3.0,0.0,0.0,0.0,0.0,3.0,16.0,14.0,19.0,4.0,8.0,53.0,12.0,13.0,6.0,16.0,6.0,0.0,0.46,0.88,0.0,2.0,1.0,0.0,30.0,22.0,22.0,6.0,0.17,0.0,0.0,1.5,1.5,1.5
NSH,2023,NSH,NSH,Team Level,other,17,0.55,0.65,0.66,2648.0,54.2,12.14,4.38,11.13,2.13,28.43,12.8,10.0,12.14,10.0,49.0,22.0,22.0,93.0,8.0,10.0,1.0,2.0,3.0,29.0,19.0,41.0,63.0,2.0,4.0,28.0,10.0,4.0,2.0,33.0,19.0,19.0,1.32,2.33,8.49,4.0,0.0,4.0,93.0,71.0,71.0,1.0,1.32,3.65,3.65,9.81,9.81,8.87,26.83,9.82,1.75,4.31,0.86,11.53,7.74,9.34,9.82,9.34,25.0,11.0,14.0,50.0,9.0,6.0,2.0,0.0,1.0,10.0,10.0,16.0,27.0,1.0,2.0,26.0,4.0,4.0,4.0,12.0,8.0,16.0,0.44,0.95,8.44,1.0,1.0,7.0,50.0,36.0,36.0,2.0,0.49,2.08,2.08,8.23,8.23,8.1
NSH,2023,NSH,NSH,Team Level,all,17,0.55,0.51,0.53,61333.0,558.01,60.33,39.97,131.85,19.33,299.59,208.94,56.07,60.68,56.35,518.0,242.0,259.0,1019.0,52.0,64.0,8.0,36.0,8.0,332.0,268.0,466.0,708.0,68.0,150.0,478.0,354.0,106.0,160.0,527.0,157.0,76.0,14.7,19.93,25.71,14.0,16.0,22.0,1024.08,760.0,763.06,74.0,9.19,13.85,13.91,55.62,55.75,53.62,498.25,49.71,33.5,120.58,17.32,268.64,195.25,47.78,49.79,47.87,506.0,179.0,288.0,973.0,57.0,46.0,10.0,27.0,2.0,303.0,250.0,449.0,628.0,71.0,162.0,460.0,354.0,102.0,173.0,523.0,108.0,54.0,15.36,13.11,21.24,23.0,11.0,23.0,972.74,685.0,686.44,102.0,7.41,9.35,9.39,47.73,47.84,46.91
NSH,2023,NSH,NSH,Team Level,5on5,17,0.54,0.49,0.5,47251.0,382.48,34.67,25.09,96.24,13.18,202.52,153.31,33.24,35.01,33.52,354.0,171.0,184.0,709.0,29.0,37.0,4.0,25.0,4.0,238.0,192.0,325.0,496.0,56.0,126.0,360.0,327.0,91.0,132.0,383.0,100.0,42.0,10.39,12.89,11.38,7.0,12.0,10.0,714.08,525.0,528.06,65.0,5.24,7.2,7.53,32.37,32.51,31.87,384.52,29.37,24.85,98.4,13.67,210.48,156.22,28.44,29.45,28.53,395.0,138.0,219.0,752.0,33.0,33.0,6.0,24.0,1.0,241.0,201.0,362.0,500.0,66.0,150.0,334.0,323.0,85.0,146.0,425.0,83.0,25.0,12.18,10.2,6.99,19.0,8.0,6.0,751.74,533.0,534.44,89.0,5.15,6.09,6.12,28.4,28.51,28.15
NSH,2023,NSH,NSH,Team Level,4on5,17,0.16,0.13,0.17,5200.0,15.81,1.74,0.81,2.4,0.5,4.38,10.17,1.67,1.74,1.67,11.0,9.0,3.0,23.0,1.0,3.0,1.0,0.0,0.0,3.0,13.0,10.0,19.0,2.0,4.0,23.0,11.0,8.0,6.0,12.0,5.0,3.0,0.27,0.65,0.82,0.0,0.0,1.0,23.0,20.0,20.0,5.0,0.19,0.67,0.67,1.26,1.26,1.26,73.43,8.98,6.32,15.91,2.4,42.83,22.55,8.46,8.98,8.46,71.0,28.0,52.0,151.0,14.0,7.0,2.0,3.0,0.0,47.0,28.0,57.0,85.0,0.0,0.0,53.0,2.0,2.0,13.0,72.0,17.0,10.0,2.17,1.96,4.85,3.0,2.0,9.0,151.0,99.0,99.0,1.0,1.64,1.19,1.19,9.43,9.43,9.0
NSH,2023,NSH,NSH,Team Level,5on4,17,0.88,0.91,0.89,6234.0,105.52,11.79,9.69,22.08,3.52,64.26,32.66,11.15,11.79,11.15,104.0,40.0,50.0,194.0,14.0,14.0,2.0,9.0,1.0,62.0,44.0,90.0,130.0,8.0,16.0,67.0,6.0,3.0,20.0,99.0,33.0,12.0,2.72,4.05,5.01,3.0,4.0,7.0,194.0,144.0,144.0,3.0,2.44,2.34,2.06,12.17,12.17,11.62,13.47,1.53,0.58,1.96,0.38,3.8,8.74,1.53,1.53,1.53,15.0,2.0,3.0,20.0,1.0,0.0,0.0,0.0,0.0,5.0,11.0,14.0,16.0,4.0,10.0,47.0,25.0,11.0,10.0,14.0,0.0,3.0,0.58,0.0,0.96,0.0,0.0,1.0,20.0,17.0,17.0,10.0,0.14,0.0,0.0,1.67,1.67,1.67
NYR,2023,NYR,NYR,Team Level,other,16,0.58,0.44,0.44,2225.0,33.75,9.65,2.46,5.52,1.38,20.1,9.9,8.7,9.65,8.7,24.0,25.0,20.0,69.0,11.0,4.0,3.0,1.0,1.0,22.0,10.0,13.0,38.0,0.0,0.0,27.0,4.0,5.0,5.0,22.0,14.0,13.0,0.79,1.78,7.08,1.0,3.0,7.0,69.0,49.0,49.0,2.0,0.75,1.79,1.79,8.61,8.61,7.84,45.81,7.09,3.38,8.76,1.6,26.05,15.13,6.5,7.09,6.5,38.0,24.0,25.0,87.0,2.0,7.0,0.0,0.0,0.0,32.0,21.0,36.0,60.0,0.0,0.0,27.0,2.0,4.0,1.0,37.0,14.0,11.0,1.52,1.47,4.1,0.0,0.0,2.0,87.0,62.0,62.0,0.0,1.0,2.15,2.15,5.94,5.94,5.67
NYR,2023,NYR,NYR,Team Level,all,16,0.51,0.48,0.5,58702.0,509.95,50.2,34.71,119.76,17.12,285.87,198.33,48.04,51.11,48.93,466.0,240.0,237.0,943.0,54.0,44.0,11.0,12.0,5.0,333.0,258.0,412.0,652.0,56.0,116.0,483.0,265.0,84.0,98.0,529.0,128.0,49.0,14.88,15.43,19.89,12.0,20.0,22.0,960.07,706.0,719.66,55.0,7.78,10.32,10.32,47.66,48.47,46.83,511.17,48.69,34.89,122.64,17.53,279.89,201.35,46.25,48.12,45.69,453.0,252.0,299.0,1004.0,39.0,58.0,4.0,22.0,4.0,318.0,264.0,414.0,666.0,59.0,126.0,393.0,243.0,90.0,103.0,520.0,130.0,55.0,15.26,15.51,17.93,10.0,16.0,13.0,983.13,705.0,692.4,52.0,7.87,12.06,12.1,44.46,43.92,42.61
NYR,2023,NYR,NYR,Team Level,5on5,16,0.49,0.49,0.5,47512.0,385.84,29.84,24.73,95.84,12.75,211.44,156.4,29.07,30.74,29.97,364.0,167.0,186.0,717.0,29.0,36.0,5.0,7.0,4.0,246.0,209.0,335.0,502.0,52.0,108.0,370.0,244.0,67.0,83.0,413.0,96.0,22.0,11.85,11.57,6.43,11.0,15.0,3.0,734.07,531.0,544.66,50.0,5.1,6.59,6.59,28.35,29.15,28.67,383.27,31.66,24.83,96.26,13.03,208.13,155.1,30.52,31.08,29.97,340.0,189.0,230.0,759.0,28.0,42.0,4.0,17.0,4.0,232.0,206.0,312.0,501.0,51.0,110.0,294.0,224.0,77.0,87.0,406.0,91.0,32.0,11.45,11.22,8.99,10.0,12.0,6.0,738.13,529.0,516.4,49.0,5.14,8.11,8.43,28.36,27.82,27.37
NYR,2023,NYR,NYR,Team Level,4on5,16,0.09,0.09,0.11,4619.0,9.01,0.96,0.5,1.37,0.28,2.93,5.96,0.96,0.96,0.96,8.0,4.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,11.0,3.0,6.0,44.0,14.0,10.0,4.0,8.0,1.0,3.0,0.16,0.09,0.72,0.0,0.0,1.0,14.0,12.0,12.0,3.0,0.11,0.0,0.0,1.08,1.08,1.07,71.88,9.48,6.34,16.28,2.54,42.45,22.91,8.76,9.48,8.76,63.0,37.0,40.0,140.0,8.0,9.0,0.0,5.0,0.0,52.0,26.0,55.0,92.0,4.0,8.0,44.0,3.0,2.0,11.0,65.0,23.0,12.0,2.04,2.6,4.84,0.0,3.0,5.0,140.0,100.0,100.0,0.0,1.65,1.8,1.52,9.61,9.61,9.02
NYR,2023,NYR,NYR,Team Level,5on4,16,0.95,0.89,0.89,4346.0,81.35,9.76,7.02,17.03,2.71,51.4,26.08,9.31,9.76,9.31,70.0,44.0,29.0,143.0,13.0,4.0,3.0,4.0,0.0,63.0,30.0,57.0,101.0,1.0,2.0,42.0,3.0,2.0,6.0,86.0,17.0,11.0,2.09,2.0,5.67,0.0,2.0,11.0,143.0,114.0,114.0,0.0,1.81,1.95,1.95,9.63,9.63,9.25,10.21,0.47,0.35,1.34,0.37,3.25,8.22,0.47,0.47,0.47,12.0,2.0,4.0,18.0,1.0,0.0,0.0,0.0,0.0,2.0,11.0,11.0,13.0,4.0,8.0,28.0,14.0,7.0,4.0,12.0,2.0,0.0,0.26,0.21,0.0,0.0,1.0,0.0,18.0,14.0,14.0,3.0,0.08,0.0,0.0,0.56,0.56,0.55
DAL,2023,DAL,DAL,Team Level,other,17,0.58,0.48,0.47,2711.0,36.69,8.89,2.78,6.93,1.4,21.36,11.65,8.59,8.89,8.59,33.0,20.0,22.0,75.0,7.0,4.0,0.0,1.0,0.0,26.0,15.0,26.0,46.0,2.0,4.0,39.0,4.0,4.0,7.0,19.0,20.0,14.0,0.75,2.17,5.97,1.0,1.0,5.0,75.0,53.0,53.0,5.0,0.79,1.66,1.66,8.02,8.02,7.86,42.28,6.39,3.16,8.04,1.59,25.88,14.94,6.0,6.39,6.0,41.0,19.0,20.0,80.0,4.0,3.0,0.0,2.0,1.0,30.0,20.0,37.0,56.0,1.0,2.0,32.0,4.0,5.0,10.0,39.0,13.0,8.0,1.57,1.41,3.4,0.0,2.0,2.0,80.0,60.0,60.0,3.0,0.86,1.08,1.08,6.17,6.17,5.8
DAL,2023,DAL,DAL,Team Level,all,17,0.53,0.5,0.5,61975.0,562.97,59.26,39.73,133.57,19.46,308.13,221.86,56.68,59.65,57.07,526.0,256.0,301.0,1083.0,60.0,65.0,9.0,34.0,3.0,326.0,294.0,466.0,722.0,64.0,145.0,548.0,212.0,114.0,140.0,557.0,161.0,64.0,16.47,19.21,23.58,18.0,18.0,24.0,1095.15,782.0,789.19,73.0,8.88,15.25,15.25,52.89,53.28,52.01,570.41,52.64,37.94,136.42,19.11,311.65,228.24,50.7,52.31,50.38,552.0,234.0,279.0,1065.0,47.0,45.0,7.0,35.0,4.0,375.0,280.0,505.0,739.0,59.0,136.0,495.0,302.0,113.0,138.0,583.0,146.0,57.0,15.72,17.52,19.41,14.0,18.0,15.0,1054.36,786.0,779.38,65.0,8.46,8.92,8.92,52.18,51.92,50.48
DAL,2023,DAL,DAL,Team Level,5on5,17,0.53,0.51,0.51,49139.0,429.22,36.9,28.79,108.69,14.8,235.54,172.28,35.48,37.29,35.87,391.0,206.0,228.0,825.0,37.0,50.0,6.0,30.0,3.0,240.0,237.0,354.0,560.0,54.0,125.0,412.0,195.0,95.0,117.0,451.0,111.0,35.0,13.68,13.52,9.71,14.0,13.0,10.0,837.15,597.0,604.19,61.0,6.0,9.74,9.74,33.16,33.55,32.99,414.79,32.94,25.44,106.17,13.84,222.28,169.33,32.0,32.6,31.69,397.0,173.0,221.0,791.0,33.0,35.0,6.0,20.0,2.0,277.0,203.0,364.0,537.0,52.0,122.0,367.0,282.0,90.0,109.0,439.0,95.0,36.0,10.99,11.69,10.26,10.0,15.0,8.0,780.36,570.0,563.38,56.0,5.27,5.82,5.82,32.39,32.14,31.59
DAL,2023,DAL,DAL,Team Level,4on5,17,0.21,0.19,0.19,5363.0,24.79,3.23,1.25,3.44,0.71,6.9,15.47,3.14,3.23,3.14,22.0,9.0,8.0,39.0,4.0,2.0,0.0,0.0,0.0,9.0,16.0,18.0,27.0,1.0,2.0,52.0,7.0,13.0,3.0,17.0,9.0,5.0,0.45,1.19,1.58,1.0,2.0,1.0,39.0,31.0,31.0,3.0,0.29,0.4,0.4,3.11,3.11,3.05,94.55,11.91,8.52,19.4,3.13,57.77,30.27,11.3,11.91,11.3,94.0,37.0,35.0,166.0,7.0,7.0,1.0,11.0,1.0,64.0,41.0,87.0,124.0,4.0,8.0,59.0,5.0,4.0,16.0,86.0,33.0,12.0,2.57,3.8,5.54,2.0,0.0,5.0,166.0,131.0,131.0,4.0,2.13,2.02,2.02,12.03,12.03,11.5
DAL,2023,DAL,DAL,Team Level,5on4,17,0.88,0.84,0.8,4762.0,72.27,10.25,6.9,14.5,2.56,44.33,22.46,9.47,10.25,9.47,80.0,21.0,43.0,144.0,12.0,9.0,3.0,3.0,0.0,51.0,26.0,68.0,89.0,7.0,14.0,45.0,6.0,2.0,13.0,70.0,21.0,10.0,1.59,2.33,6.32,2.0,2.0,8.0,144.0,101.0,101.0,4.0,1.81,3.46,3.46,8.6,8.6,8.11,18.78,1.4,0.83,2.81,0.54,5.73,13.7,1.4,1.4,1.4,20.0,5.0,3.0,28.0,3.0,0.0,0.0,2.0,0.0,4.0,16.0,17.0,22.0,2.0,4.0,37.0,11.0,14.0,3.0,19.0,5.0,1.0,0.58,0.61,0.2,2.0,1.0,0.0,28.0,25.0,25.0,2.0,0.19,0.0,0.0,1.59,1.59,1.59
DET,2023,DET,DET,Team Level,other,17,0.46,0.55,0.54,2774.0,41.24,7.12,2.81,7.49,1.35,22.45,15.78,6.72,7.12,6.72,37.0,20.0,17.0,74.0,5.0,3.0,0.0,5.0,0.0,23.0,21.0,32.0,52.0,3.0,4.0,33.0,7.0,3.0,5.0,33.0,14.0,10.0,1.22,1.73,4.17,0.0,1.0,4.0,74.0,57.0,57.0,3.0,0.8,1.08,1.08,6.84,6.84,6.54,36.41,8.52,2.42,6.13,1.14,16.7,14.1,7.84,8.52,7.84,33.0,16.0,11.0,60.0,9.0,2.0,0.0,1.0,0.0,23.0,14.0,24.0,40.0,4.0,8.0,28.0,3.0,5.0,8.0,24.0,12.0,13.0,1.09,1.34,6.08,1.0,2.0,6.0,60.0,49.0,49.0,3.0,0.75,0.35,0.35,8.92,8.92,8.24
DET,2023,DET,DET,Team Level,all,17,0.49,0.48,0.49,62134.0,540.57,52.16,37.13,127.52,18.25,291.97,212.97,49.09,52.08,49.01,526.0,214.0,256.0,996.0,61.0,54.0,11.0,37.0,3.0,308.0,277.0,465.0,679.0,80.0,167.0,482.0,263.0,83.0,126.0,549.0,132.0,59.0,15.4,15.69,21.06,25.0,19.0,17.0,989.96,740.0,737.47,69.0,8.35,11.56,11.74,48.76,48.76,46.81,568.15,54.06,39.12,141.31,20.08,305.57,219.86,51.11,54.43,51.5,514.0,266.0,283.0,1063.0,57.0,69.0,3.0,40.0,3.0,337.0,274.0,457.0,723.0,85.0,175.0,490.0,266.0,82.0,116.0,584.0,136.0,60.0,16.6,17.18,20.28,21.0,21.0,15.0,1071.36,780.0,784.51,58.0,8.91,10.95,10.95,52.02,52.51,50.77
DET,2023,DET,DET,Team Level,5on5,17,0.48,0.48,0.48,47611.0,389.49,30.02,25.31,98.32,13.49,210.31,157.56,28.67,29.95,28.59,377.0,158.0,195.0,730.0,44.0,39.0,8.0,25.0,3.0,214.0,210.0,333.0,491.0,67.0,143.0,360.0,232.0,74.0,97.0,419.0,87.0,29.0,11.36,10.58,8.07,22.0,16.0,6.0,723.96,535.0,532.47,57.0,5.23,7.58,7.77,27.49,27.48,27.06,420.19,33.08,27.06,110.56,14.95,227.47,166.88,31.5,33.45,31.89,379.0,201.0,216.0,796.0,35.0,53.0,2.0,32.0,3.0,245.0,212.0,344.0,545.0,67.0,141.0,344.0,243.0,64.0,95.0,454.0,95.0,31.0,12.79,11.96,8.32,17.0,16.0,2.0,804.36,580.0,584.51,52.0,5.61,8.65,8.65,30.04,30.52,29.94
DET,2023,DET,DET,Team Level,4on5,17,0.15,0.12,0.15,5822.0,17.82,1.89,0.97,2.49,0.55,5.59,11.51,1.78,1.89,1.78,21.0,2.0,1.0,24.0,0.0,1.0,0.0,0.0,0.0,10.0,12.0,21.0,23.0,5.0,10.0,36.0,18.0,4.0,8.0,16.0,2.0,5.0,0.35,0.31,1.23,0.0,0.0,0.0,24.0,23.0,23.0,8.0,0.22,0.27,0.27,1.84,1.84,1.79,96.59,11.06,9.09,22.53,3.59,57.3,28.44,10.36,11.06,10.36,89.0,43.0,52.0,184.0,12.0,14.0,1.0,6.0,0.0,68.0,32.0,77.0,120.0,11.0,20.0,64.0,7.0,5.0,10.0,91.0,28.0,13.0,2.45,3.71,4.91,3.0,3.0,6.0,184.0,132.0,132.0,0.0,2.42,1.95,1.95,11.53,11.53,11.06
DET,2023,DET,DET,Team Level,5on4,17,0.9,0.88,0.87,5927.0,92.01,13.13,8.04,19.22,2.86,53.62,28.13,11.92,13.13,11.92,91.0,34.0,43.0,168.0,12.0,11.0,3.0,7.0,0.0,61.0,34.0,79.0,113.0,5.0,10.0,53.0,6.0,2.0,16.0,81.0,29.0,15.0,2.47,3.07,7.59,3.0,2.0,7.0,168.0,125.0,125.0,1.0,2.1,2.63,2.63,12.59,12.59,11.42,14.96,1.41,0.55,2.1,0.4,4.11,10.44,1.41,1.41,1.41,13.0,6.0,4.0,23.0,1.0,0.0,0.0,1.0,0.0,1.0,16.0,12.0,18.0,3.0,6.0,54.0,13.0,8.0,3.0,15.0,1.0,3.0,0.28,0.16,0.97,0.0,0.0,1.0,23.0,19.0,19.0,3.0,0.13,0.0,0.0,1.54,1.54,1.54
CHI,2023,CHI,CHI,Team Level,other,16,0.41,0.42,0.43,2487.0,21.8,5.22,1.77,4.39,0.7,11.43,5.49,4.93,5.22,4.93,23.0,6.0,11.0,40.0,7.0,1.0,0.0,2.0,0.0,14.0,5.0,16.0,22.0,0.0,0.0,20.0,8.0,6.0,6.0,14.0,8.0,7.0,0.52,0.99,3.71,0.0,2.0,5.0,40.0,29.0,29.0,2.0,0.54,0.02,0.02,5.75,5.75,5.43,29.7,7.58,2.25,5.66,0.88,15.15,7.49,7.03,7.58,7.03,27.0,12.0,16.0,55.0,5.0,3.0,1.0,1.0,0.0,18.0,12.0,22.0,34.0,1.0,2.0,34.0,5.0,4.0,11.0,19.0,7.0,13.0,0.76,0.74,6.08,0.0,0.0,5.0,55.0,39.0,39.0,6.0,0.61,1.1,1.1,7.09,7.09,6.68
CHI,2023,CHI,CHI,Team Level,all,16,0.39,0.44,0.43,57770.0,430.62,39.63,29.77,103.81,14.13,229.13,168.53,37.95,39.81,38.12,422.0,163.0,238.0,823.0,40.0,43.0,7.0,29.0,2.0,253.0,218.0,382.0,545.0,63.0,141.0,396.0,294.0,136.0,138.0,453.0,84.0,48.0,12.68,10.28,16.67,11.0,13.0,16.0,818.46,585.0,581.29,83.0,6.68,7.95,7.95,38.36,38.55,37.78,551.68,61.03,39.89,130.5,18.44,300.08,212.05,57.91,61.15,58.04,533.0,229.0,293.0,1055.0,56.0,59.0,11.0,28.0,6.0,349.0,264.0,477.0,706.0,63.0,145.0,519.0,289.0,100.0,135.0,528.0,155.0,79.0,15.96,18.39,26.69,15.0,20.0,21.0,1068.19,762.0,772.94,73.0,8.86,13.42,13.42,56.47,56.71,54.85
CHI,2023,CHI,CHI,Team Level,5on5,16,0.43,0.44,0.43,44597.0,339.03,28.25,21.43,84.48,11.05,179.46,136.33,26.9,28.43,27.07,334.0,127.0,182.0,643.0,28.0,33.0,7.0,23.0,2.0,203.0,172.0,306.0,433.0,61.0,137.0,295.0,268.0,110.0,116.0,364.0,63.0,34.0,10.63,7.83,9.78,11.0,9.0,8.0,638.46,461.0,457.29,70.0,4.45,7.68,7.68,25.02,25.21,24.81,431.75,38.1,29.52,107.22,14.63,237.38,174.16,36.86,38.21,36.98,416.0,185.0,226.0,827.0,37.0,44.0,7.0,22.0,4.0,283.0,211.0,379.0,564.0,57.0,133.0,392.0,272.0,86.0,101.0,450.0,110.0,41.0,13.34,13.29,11.47,15.0,16.0,6.0,840.19,601.0,611.94,56.0,6.15,9.26,9.26,34.99,35.23,34.61
CHI,2023,CHI,CHI,Team Level,4on5,16,0.09,0.11,0.14,5334.0,13.48,1.27,0.74,1.95,0.33,3.9,8.81,1.27,1.27,1.27,14.0,3.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,14.0,17.0,0.0,0.0,43.0,11.0,14.0,9.0,10.0,5.0,2.0,0.21,0.57,0.48,0.0,0.0,0.0,19.0,17.0,17.0,9.0,0.17,0.0,0.0,1.44,1.44,1.44,74.8,12.83,6.98,15.31,2.38,42.3,21.2,11.61,12.83,11.61,74.0,27.0,46.0,147.0,12.0,12.0,3.0,4.0,2.0,45.0,26.0,62.0,89.0,4.0,8.0,51.0,2.0,1.0,11.0,48.0,33.0,20.0,1.53,3.68,7.63,0.0,4.0,8.0,147.0,101.0,101.0,0.0,1.83,3.06,3.06,11.6,11.6,10.9
