Team,Season,GP,W,L,T,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,OT
Pittsburgh Penguins,20172018,12,6,6,--,12,0.5,6,6,0,42,34,3.5,2.83,22.7,83.3,20.5,83.3,29.1,26.6,52.7,
San Jose Sharks,20172018,10,6,4,--,12,0.6,5,6,0,30,26,3.0,2.6,23.4,80.0,23.4,80.0,34.3,33.4,52.6,
Boston Bruins,20172018,12,5,7,--,10,0.417,5,5,0,41,37,3.42,3.08,36.4,73.5,33.3,76.5,31.5,29.3,49.4,
Toronto Maple Leafs,20172018,7,3,4,--,6,0.429,3,3,0,20,28,2.86,4.0,26.7,66.7,26.7,71.4,28.1,35.0,50.2,
Philadelphia Flyers,20172018,6,2,4,--,4,0.333,2,2,0,15,28,2.5,4.67,9.5,80.0,9.5,84.0,24.7,30.7,48.7,
Colorado Avalanche,20172018,6,2,4,--,4,0.333,2,2,0,15,22,2.5,3.67,10.0,84.2,10.0,84.2,28.7,35.3,40.9,
Columbus Blue Jackets,20172018,6,2,4,--,4,0.333,0,2,0,18,24,3.0,4.0,16.7,66.7,12.5,70.4,32.7,37.2,50.2,
New Jersey Devils,20172018,5,1,4,--,2,0.2,1,1,0,12,18,2.4,3.6,15.8,73.7,15.8,79.0,34.2,33.6,47.6,
Minnesota Wild,20172018,5,1,4,--,2,0.2,1,1,0,9,16,1.8,3.2,23.1,76.9,23.1,76.9,25.2,33.8,48.8,
Anaheim Ducks,20172018,4,0,4,--,0,0.0,0,0,0,4,16,1.0,4.0,16.7,70.0,16.7,70.0,33.0,32.3,49.6,
Los Angeles Kings,20172018,4,0,4,--,0,0.0,0,0,0,3,7,0.75,1.75,7.7,91.7,7.7,91.7,32.5,32.8,52.4,
Pittsburgh Penguins,20082009,24,16,8,--,32,0.667,13,16,0,79,64,3.29,2.67,20.6,83.3,18.6,84.5,32.5,29.0,48.4,
Detroit Red Wings,20082009,23,15,8,--,30,0.652,13,15,0,76,48,3.3,2.09,23.7,73.2,22.7,74.7,36.3,28.1,53.7,
Chicago Blackhawks,20082009,17,9,8,--,18,0.529,6,9,0,54,54,3.18,3.18,27.9,78.5,26.5,80.0,29.8,29.9,49.3,
Carolina Hurricanes,20082009,18,8,10,--,16,0.444,5,8,0,42,52,2.33,2.89,10.0,88.7,10.0,90.1,31.7,32.2,48.7,
Boston Bruins,20082009,11,7,4,--,14,0.636,7,7,0,34,22,3.09,2.0,14.0,88.9,11.6,88.9,29.9,29.5,52.0,
Washington Capitals,20082009,14,7,7,--,14,0.5,6,7,0,41,38,2.93,2.71,21.2,80.0,21.2,83.1,28.3,30.1,54.6,
Anaheim Ducks,20082009,13,7,6,--,14,0.538,6,7,0,35,32,2.69,2.46,26.0,80.0,26.0,80.0,26.8,40.9,46.1,
Vancouver Canucks,20082009,10,6,4,--,12,0.6,5,6,0,30,28,3.0,2.8,25.0,82.4,22.7,82.4,26.3,30.6,52.6,
New Jersey Devils,20082009,7,3,4,--,6,0.429,2,3,0,15,17,2.14,2.43,11.1,93.1,11.1,93.1,34.6,34.1,50.5,
New York Rangers,20082009,7,3,4,--,6,0.429,3,3,0,11,19,1.57,2.71,12.9,81.8,9.7,81.8,23.7,30.9,46.3,
Philadelphia Flyers,20082009,6,2,4,--,4,0.333,2,2,0,16,18,2.67,3.0,13.3,87.5,13.3,90.6,32.3,33.3,44.3,
Calgary Flames,20082009,6,2,4,--,4,0.333,2,2,0,16,21,2.67,3.5,11.1,70.8,11.1,70.8,29.3,29.2,48.4,
San Jose Sharks,20082009,6,2,4,--,4,0.333,1,2,0,10,18,1.67,3.0,16.7,78.3,16.7,78.3,38.3,26.0,50.8,
Montréal Canadiens,20082009,4,0,4,--,0,0.0,0,0,0,6,17,1.5,4.25,0.0,75.0,0.0,75.0,27.8,32.5,48.9,
St. Louis Blues,20082009,4,0,4,--,0,0.0,0,0,0,5,11,1.25,2.75,4.2,77.8,4.2,77.8,32.8,30.0,47.5,
Columbus Blue Jackets,20082009,4,0,4,--,0,0.0,0,0,0,7,18,1.75,4.5,23.1,68.2,23.1,68.2,27.5,35.0,51.3,
