Team,Season,GP,W,L,T,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,OT
Washington Capitals,20102011,9,4,5,--,8,0.444,2,4,0,23,24,2.56,2.67,14.3,86.8,14.3,86.8,32.1,29.1,51.0,
Pittsburgh Penguins,20102011,7,3,4,--,6,0.429,2,3,0,14,22,2.0,3.14,2.9,70.4,0.0,70.4,36.7,25.7,49.7,
Buffalo Sabres,20102011,7,3,4,--,6,0.429,2,3,0,18,22,2.57,3.14,22.6,85.7,22.6,85.7,30.3,35.9,52.7,
Montréal Canadiens,20102011,7,3,4,--,6,0.429,3,3,0,17,17,2.43,2.43,22.2,100.0,22.2,104.8,32.7,34.7,46.9,
Chicago Blackhawks,20102011,7,3,4,--,6,0.429,2,3,0,22,16,3.14,2.29,20.7,77.8,20.7,83.3,30.9,31.1,51.9,
Anaheim Ducks,20102011,6,2,4,--,4,0.333,2,2,0,20,22,3.33,3.67,36.4,77.8,36.4,81.5,27.2,31.7,46.3,
Los Angeles Kings,20102011,6,2,4,--,4,0.333,2,2,0,20,20,3.33,3.33,20.8,91.3,20.8,91.3,28.2,38.2,44.5,
New York Rangers,20102011,5,1,4,--,2,0.2,1,1,0,8,13,1.6,2.6,5.0,81.3,5.0,81.3,29.6,31.2,49.3,
Phoenix Coyotes,20102011,4,0,4,--,0,0.0,0,0,0,10,18,2.5,4.5,33.3,73.3,33.3,73.3,29.5,35.0,47.8,
Los Angeles Kings,20112012,20,16,4,--,32,0.8,12,16,0,57,30,2.85,1.5,12.8,92.1,12.8,98.7,30.6,27.0,49.7,
New Jersey Devils,20112012,24,14,10,--,28,0.583,10,14,0,59,58,2.46,2.42,15.3,73.2,12.9,74.4,28.4,27.0,47.2,
New York Rangers,20112012,20,10,10,--,20,0.5,8,10,0,43,41,2.15,2.05,17.8,84.1,17.8,84.1,29.3,27.9,48.4,
Phoenix Coyotes,20112012,16,9,7,--,18,0.563,5,9,0,37,35,2.31,2.19,14.0,90.8,12.0,90.8,26.7,37.7,51.4,
Washington Capitals,20112012,14,7,7,--,14,0.5,5,7,0,29,30,2.07,2.14,18.0,87.5,18.0,87.5,27.6,32.8,50.9,
Philadelphia Flyers,20112012,11,5,6,--,10,0.455,3,5,0,41,44,3.73,4.0,35.7,72.3,33.3,80.9,27.2,31.5,50.1,
Nashville Predators,20112012,10,5,5,--,10,0.5,5,5,0,22,21,2.2,2.1,12.2,85.7,12.2,85.7,27.5,29.6,49.0,
St. Louis Blues,20112012,9,4,5,--,8,0.444,4,4,0,20,23,2.22,2.56,17.1,92.1,11.4,92.1,28.2,26.1,51.5,
Boston Bruins,20112012,7,3,4,--,6,0.429,1,3,0,15,16,2.14,2.29,8.7,84.2,8.7,84.2,35.4,29.6,48.9,
Ottawa Senators,20112012,7,3,4,--,6,0.429,1,3,0,13,14,1.86,2.0,15.4,84.4,15.4,84.4,31.1,29.7,54.4,
Florida Panthers,20112012,7,3,4,--,6,0.429,3,3,0,17,18,2.43,2.57,33.3,80.0,33.3,84.0,27.9,31.9,54.5,
Pittsburgh Penguins,20112012,6,2,4,--,4,0.333,2,2,0,26,30,4.33,5.0,31.0,47.8,20.7,47.8,30.2,27.5,51.9,
Chicago Blackhawks,20112012,6,2,4,--,4,0.333,0,2,0,12,17,2.0,2.83,5.3,79.0,5.3,79.0,40.2,26.5,49.3,
Detroit Red Wings,20112012,5,1,4,--,2,0.2,1,1,0,9,13,1.8,2.6,17.4,90.9,17.4,90.9,32.0,23.2,49.8,
Vancouver Canucks,20112012,5,1,4,--,2,0.2,1,1,0,8,12,1.6,2.4,14.3,88.5,4.8,88.5,34.4,33.2,51.8,
San Jose Sharks,20112012,5,1,4,--,2,0.2,0,1,0,8,14,1.6,2.8,11.8,66.7,11.8,66.7,28.8,30.4,49.0,
Chicago Blackhawks,20122013,23,16,7,--,32,0.696,11,16,0,64,48,2.78,2.09,11.4,90.8,10.0,93.4,34.2,29.4,46.8,
Boston Bruins,20122013,22,14,8,--,28,0.636,9,14,0,65,47,2.95,2.14,17.5,88.7,14.3,90.1,35.5,34.6,55.3,
Los Angeles Kings,20122013,18,9,9,--,18,0.5,8,9,0,37,34,2.06,1.89,17.3,87.7,15.4,89.5,25.6,29.3,48.2,
Pittsburgh Penguins,20122013,15,8,7,--,16,0.533,6,8,0,49,40,3.27,2.67,21.3,92.3,16.4,96.2,33.3,32.7,49.7,
Detroit Red Wings,20122013,14,7,7,--,14,0.5,4,7,0,33,37,2.36,2.64,14.3,77.6,12.2,79.6,29.8,33.1,53.0,
San Jose Sharks,20122013,11,7,4,--,14,0.636,4,7,0,25,22,2.27,2.0,22.0,76.7,22.0,76.7,31.9,27.2,55.8,
New York Rangers,20122013,12,5,7,--,10,0.417,4,5,0,26,28,2.17,2.33,9.1,75.0,9.1,75.0,30.2,34.3,48.0,
Ottawa Senators,20122013,10,5,5,--,10,0.5,3,5,0,31,31,3.1,3.1,18.2,79.6,13.6,86.4,32.4,37.7,49.5,
Toronto Maple Leafs,20122013,7,3,4,--,6,0.429,3,3,0,18,22,2.57,3.14,23.8,85.0,19.1,90.0,33.4,39.0,40.0,
Washington Capitals,20122013,7,3,4,--,6,0.429,1,3,0,12,16,1.71,2.29,18.8,92.9,18.8,92.9,32.3,29.3,50.8,
Anaheim Ducks,20122013,7,3,4,--,6,0.429,2,3,0,21,18,3.0,2.57,28.0,76.0,24.0,80.0,32.1,31.1,48.2,
New York Islanders,20122013,6,2,4,--,4,0.333,2,2,0,17,25,2.83,4.17,10.0,66.7,10.0,71.4,32.8,27.8,49.3,
St. Louis Blues,20122013,6,2,4,--,4,0.333,1,2,0,10,12,1.67,2.0,11.8,86.7,11.8,93.3,29.5,24.8,52.9,
Montréal Canadiens,20122013,5,1,4,--,2,0.2,1,1,0,9,20,1.8,4.0,15.8,76.0,10.5,76.0,36.0,30.8,51.7,
Minnesota Wild,20122013,5,1,4,--,2,0.2,0,1,0,7,17,1.4,3.4,0.0,84.6,-5.9,84.6,27.8,33.8,50.2,
Vancouver Canucks,20122013,4,0,4,--,0,0.0,0,0,0,8,15,2.0,3.75,20.0,70.8,20.0,70.8,31.5,36.5,43.9,
Los Angeles Kings,20132014,26,16,10,--,32,0.615,11,16,0,88,70,3.38,2.69,23.5,83.3,20.0,83.3,32.3,30.1,52.9,
New York Rangers,20132014,25,13,12,--,26,0.52,11,13,0,64,60,2.56,2.4,12.6,85.4,10.7,89.0,29.3,30.2,47.4,
Chicago Blackhawks,20132014,19,11,8,--,22,0.579,7,11,0,58,55,3.05,2.89,21.1,84.6,21.1,86.2,27.9,31.2,49.7,
Montréal Canadiens,20132014,17,10,7,--,20,0.588,7,10,0,51,46,3.0,2.71,19.7,80.4,16.4,84.3,29.3,30.7,48.3,
Pittsburgh Penguins,20132014,13,7,6,--,14,0.538,7,7,0,35,33,2.69,2.54,14.3,81.1,8.2,86.8,33.6,29.2,52.3,
Boston Bruins,20132014,12,7,5,--,14,0.583,5,7,0,30,26,2.5,2.17,26.5,77.8,26.5,77.8,33.0,29.1,53.4,
Anaheim Ducks,20132014,13,7,6,--,14,0.538,6,7,0,35,37,2.69,2.85,24.0,84.9,22.0,86.8,26.8,29.7,46.6,
Minnesota Wild,20132014,13,6,7,--,12,0.462,4,6,0,35,35,2.69,2.69,13.2,84.2,7.9,86.8,30.5,24.0,52.6,
Philadelphia Flyers,20132014,7,3,4,--,6,0.429,3,3,0,16,19,2.29,2.71,28.6,89.7,28.6,89.7,25.6,31.6,51.6,
Colorado Avalanche,20132014,7,3,4,--,6,0.429,1,3,0,20,22,2.86,3.14,12.0,85.7,8.0,95.2,24.9,33.3,46.4,
San Jose Sharks,20132014,7,3,4,--,6,0.429,2,3,0,22,26,3.14,3.71,12.5,75.0,12.5,75.0,35.4,31.9,49.7,
St. Louis Blues,20132014,6,2,4,--,4,0.333,0,2,0,14,20,2.33,3.33,6.9,85.0,6.9,85.0,35.8,31.0,46.7,
Dallas Stars,20132014,6,2,4,--,4,0.333,2,2,0,18,20,3.0,3.33,10.3,73.1,6.9,76.9,29.8,27.8,51.6,
Columbus Blue Jackets,20132014,6,2,4,--,4,0.333,0,2,0,18,21,3.0,3.5,25.9,79.3,18.5,89.7,32.7,36.5,51.6,
Detroit Red Wings,20132014,5,1,4,--,2,0.2,1,1,0,6,14,1.2,2.8,10.0,62.5,10.0,62.5,30.4,32.2,46.5,
Tampa Bay Lightning,20132014,4,0,4,--,0,0.0,0,0,0,10,16,2.5,4.0,28.6,84.6,14.3,92.3,26.0,34.5,51.3,
Chicago Blackhawks,20142015,23,16,7,--,32,0.696,12,16,0,69,60,3.0,2.61,17.9,79.0,17.9,83.9,31.4,34.3,53.1,
